Sport,Season,Rank,Team,W,L
MBA,2006-07,1,Rice,56,14
MBA,2006-07,2,Vanderbilt,54,13
MBA,2006-07,3,North Carolina,57,16
MBA,2006-07,4,Arizona St.,49,15
MBA,2006-07,5,Texas,46,17
MBA,2006-07,6,Texas A&M,48,19
MBA,2006-07,7,South Carolina,46,20
MBA,2006-07,8,Coastal Carolina,50,13
MBA,2006-07,9,Oregon St.,49,18
MBA,2006-07,10,Long Beach St.,39,20
MBA,2006-07,11,Florida St.,49,13
MBA,2006-07,12,UC Irvine,47,17
MBA,2006-07,13,Virginia,45,16
MBA,2006-07,14,Louisiana,45,17
MBA,2006-07,15,Ole Miss,40,25
MBA,2006-07,16,San Diego,43,18
MBA,2006-07,17,Mississippi St.,38,22
MBA,2006-07,18,Clemson,41,23
MBA,2006-07,19,Arkansas,43,21
MBA,2006-07,20,Missouri,42,18
MBA,2006-07,21,Arizona,42,17
MBA,2006-07,22,Wichita St.,53,22
MBA,2006-07,23,Miami (FL),37,24
MBA,2006-07,24,NC State,38,23
MBA,2006-07,25,Cal St. Fullerton,38,25
MBA,2006-07,26,Louisville,47,24
MBA,2006-07,27,Wake Forest,34,29
MBA,2006-07,28,Oklahoma,34,24
MBA,2006-07,29,East Caro.,40,23
MBA,2006-07,30,Baylor,35,27
MBA,2006-07,31,Nebraska,32,27
MBA,2006-07,32,TCU,48,14
MBA,2006-07,33,Southern Miss,39,23
MBA,2006-07,34,Georgia Tech,32,25
MBA,2006-07,35,Michigan,42,19
MBA,2006-07,36,Creighton,45,16
MBA,2006-07,37,UCLA,33,28
MBA,2006-07,38,Oklahoma St.,42,21
MBA,2006-07,39,Western Carolina,42,20
MBA,2006-07,40,Kansas St.,34,24
MBA,2006-07,41,Charlotte,49,12
MBA,2006-07,42,Stetson,42,21
MBA,2006-07,43,Rutgers,42,21
MBA,2006-07,44,Col. of Charleston,39,19
MBA,2006-07,45,Florida,29,30
MBA,2006-07,46,Oral Roberts,40,17
MBA,2006-07,47,Pepperdine,35,22
MBA,2006-07,48,Auburn,31,25
MBA,2006-07,49,UC Riverside,38,21
MBA,2006-07,50,Minnesota,41,18
MBA,2006-07,51,St. John's (N.Y.),41,19
MBA,2006-07,52,LSU,29,26
MBA,2006-07,53,Memphis,36,27
MBA,2006-07,54,Kentucky,34,19
MBA,2006-07,55,South Florida,34,26
MBA,2006-07,56,Tennessee,34,25
MBA,2006-07,57,Troy,34,27
MBA,2006-07,58,USC,27,29
MBA,2006-07,59,Evansville,35,23
MBA,2006-07,60,Cal Poly,32,24
MBA,2006-07,61,Alabama,31,26
MBA,2006-07,62,California,29,26
MBA,2006-07,63,Liberty,36,25
MBA,2006-07,64,Houston,28,28
MBA,2006-07,65,Sam Houston State,40,24
MBA,2006-07,66,Penn State,31,26
MBA,2006-07,67,UTSA,36,22
MBA,2006-07,68,Central Florida,27,32
MBA,2006-07,69,Ohio St.,38,24
MBA,2006-07,70,Florida Atlantic,36,22
MBA,2006-07,71,Virginia Tech,23,31
MBA,2006-07,72,Southern Illinois,34,22
MBA,2006-07,73,VCU,37,23
MBA,2006-07,74,South Alabama,31,26
MBA,2006-07,75,Washington St.,28,26
MBA,2006-07,76,BYU,37,20
MBA,2006-07,77,Winthrop,33,27
MBA,2006-07,78,Austin Peay,40,22
MBA,2006-07,79,Georgia,23,33
MBA,2006-07,80,Gonzaga,33,25
MBA,2006-07,81,Stanford,28,28
MBA,2006-07,82,New Orleans,38,26
MBA,2006-07,83,Duke,29,25
MBA,2006-07,84,Texas Tech,28,27
MBA,2006-07,85,Fresno St.,38,29
MBA,2006-07,86,Texas St.,37,23
MBA,2006-07,87,Elon,32,29
MBA,2006-07,88,Middle Tennessee,32,28
MBA,2006-07,89,Washington,29,27
MBA,2006-07,90,Georgia Southern,34,28
MBA,2006-07,91,Central Michigan,35,21
MBA,2006-07,92,Connecticut,34,27
MBA,2006-07,93,Southeastern Louisiana,34,21
MBA,2006-07,94,UNC Wilmington,29,27
MBA,2006-07,95,Boston College,24,27
MBA,2006-07,96,Citadel,34,27
MBA,2006-07,97,Eastern Michigan,32,24
MBA,2006-07,98,Kennesaw State,32,23
MBA,2006-07,99,Ill.-Chicago,35,21
MBA,2006-07,100,Mercer,33,25
MBA,2006-07,101,Tulane,34,26
MBA,2006-07,102,Iowa,31,23
MBA,2006-07,103,Le Moyne,34,19
MBA,2006-07,104,Nevada,35,26
MBA,2006-07,105,Jacksonville,34,28
MBA,2006-07,105,Maryland,26,30
MBA,2006-07,107,Old Dominion,35,24
MBA,2006-07,108,Western Kentucky,25,30
MBA,2006-07,109,Lamar,34,25
MBA,2006-07,110,VMI,34,21
MBA,2006-07,111,Belmont,34,26
MBA,2006-07,112,Dallas Baptist,30,26
MBA,2006-07,113,Michigan St.,25,26
MBA,2006-07,114,Richmond,32,28
MBA,2006-07,115,William & Mary,29,25
MBA,2006-07,116,Louisiana Tech,35,24
MBA,2006-07,117,UL Monroe,29,28
MBA,2006-07,118,Missouri State,23,34
MBA,2006-07,119,High Point,27,30
MBA,2006-07,120,Villanova,29,25
MBA,2006-07,121,Bradley,32,21
MBA,2006-07,122,Kent State,33,26
MBA,2006-07,123,Miami (OH),32,24
MBA,2006-07,124,UNC Greensboro,30,30
MBA,2006-07,125,Northern Illinois,34,24
MBA,2006-07,126,Santa Clara,27,29
MBA,2006-07,127,Monmouth,36,24
MBA,2006-07,128,Lafayette,33,20
MBA,2006-07,129,Bethune-Cookman,33,27
MBA,2006-07,130,UAB,25,33
MBA,2006-07,131,Seton Hall,25,25
MBA,2006-07,132,Manhattan,35,19
MBA,2006-07,133,Appalachian St.,33,26
MBA,2006-07,134,Delaware,32,23
MBA,2006-07,135,Florida Intl,26,29
MBA,2006-07,136,Jacksonville State,33,27
MBA,2006-07,137,Kansas,28,30
MBA,2006-07,138,Fordham,35,22
MBA,2006-07,139,Wofford,30,33
MBA,2006-07,140,Pittsburgh,27,27
MBA,2006-07,141,UC Santa Barb.,23,31
MBA,2006-07,142,San Francisco,27,28
MBA,2006-07,143,Notre Dame,28,28
MBA,2006-07,144,Indiana State,26,26
MBA,2006-07,145,Illinois,31,27
MBA,2006-07,146,San Diego St.,29,30
MBA,2006-07,147,Stephen F. Austin,31,28
MBA,2006-07,148,Brown,27,21
MBA,2006-07,149,UNLV,24,36
MBA,2006-07,150,Lipscomb,28,30
MBA,2006-07,151,Quinnipiac,29,18
MBA,2006-07,152,Arkansas St.,23,32
MBA,2006-07,153,Illinois State,20,32
MBA,2006-07,154,North Fla.,24,32
MBA,2006-07,155,George Mason,27,27
MBA,2006-07,156,Samford,32,28
MBA,2006-07,157,Hawaii,34,25
MBA,2006-07,158,James Madison,22,31
MBA,2006-07,159,Northwestern State,25,28
MBA,2006-07,160,Xavier,29,31
MBA,2006-07,161,San Jose St.,34,26
MBA,2006-07,162,West Virginia,29,22
MBA,2006-07,163,Loyola Marymount,22,33
MBA,2006-07,164,Portland,21,30
MBA,2006-07,165,Northeastern,24,22
MBA,2006-07,166,Army,25,23
MBA,2006-07,167,New Mexico,28,30
