Sport,Season,Rank,Team,W,L
MBB,2008-09,1,North Carolina,34,4
MBB,2008-09,2,Pittsburgh,31,5
MBB,2008-09,3,Duke,30,7
MBB,2008-09,4,Michigan St.,31,7
MBB,2008-09,5,Connecticut,31,5
MBB,2008-09,6,Oklahoma,30,6
MBB,2008-09,7,Louisville,31,6
MBB,2008-09,8,Villanova,30,8
MBB,2008-09,9,Memphis,33,4
MBB,2008-09,10,Missouri,31,7
MBB,2008-09,11,Kansas,27,8
MBB,2008-09,12,Syracuse,28,10
MBB,2008-09,13,Washington,26,9
MBB,2008-09,14,Utah,24,10
MBB,2008-09,15,Xavier,27,8
MBB,2008-09,16,Purdue,27,10
MBB,2008-09,17,Oklahoma St.,23,12
MBB,2008-09,18,Florida St.,25,10
MBB,2008-09,19,Siena,27,8
MBB,2008-09,20,Wake Forest,24,7
MBB,2008-09,21,Gonzaga,28,6
MBB,2008-09,22,West Virginia,23,12
MBB,2008-09,23,Illinois,24,10
MBB,2008-09,24,Arizona St.,25,10
MBB,2008-09,25,Butler,26,6
MBB,2008-09,26,UCLA,26,9
MBB,2008-09,27,Dayton,27,8
MBB,2008-09,28,Utah St.,30,5
MBB,2008-09,29,Tennessee,21,13
MBB,2008-09,30,Marquette,25,10
MBB,2008-09,31,San Diego St.,26,10
MBB,2008-09,32,Texas A&M,24,10
MBB,2008-09,33,Temple,22,12
MBB,2008-09,34,LSU,27,8
MBB,2008-09,35,Ohio St.,22,11
MBB,2008-09,36,Clemson,23,9
MBB,2008-09,37,BYU,25,8
MBB,2008-09,38,Texas,23,12
MBB,2008-09,39,Southern California,22,13
MBB,2008-09,40,Michigan,21,14
MBB,2008-09,41,Western Ky.,25,9
MBB,2008-09,42,Wisconsin,20,13
MBB,2008-09,43,California,22,11
MBB,2008-09,44,Baylor,24,15
MBB,2008-09,45,St. Mary's (CA),28,7
MBB,2008-09,46,Minnesota,22,11
MBB,2008-09,47,Penn St.,27,11
MBB,2008-09,48,Creighton,27,8
MBB,2008-09,49,Arizona,21,14
MBB,2008-09,50,Maryland,21,14
MBB,2008-09,51,VCU,24,10
MBB,2008-09,52,UAB,22,12
MBB,2008-09,53,George Mason,22,11
MBB,2008-09,54,Illinois St.,24,10
MBB,2008-09,55,Cleveland St.,26,11
MBB,2008-09,56,Tulsa,25,11
MBB,2008-09,57,Florida,25,11
MBB,2008-09,58,Niagara,26,9
MBB,2008-09,59,Miami (FL),19,13
MBB,2008-09,60,Rhode Island,23,11
MBB,2008-09,61,UNI,23,11
MBB,2008-09,62,Auburn,24,12
MBB,2008-09,63,Georgetown,16,15
MBB,2008-09,64,Davidson,27,8
MBB,2008-09,65,Virginia Tech,19,15
MBB,2008-09,66,Mississippi St.,23,13
MBB,2008-09,67,Boston College,22,12
MBB,2008-09,68,South Carolina,21,10
MBB,2008-09,69,New Mexico,22,12
MBB,2008-09,70,Notre Dame,21,15
MBB,2008-09,71,Kentucky,22,14
MBB,2008-09,72,UNLV,21,11
MBB,2008-09,73,American,24,8
MBB,2008-09,74,Nebraska,18,13
MBB,2008-09,75,Stephen F. Austin,24,8
MBB,2008-09,76,Duquesne,21,13
MBB,2008-09,77,Kansas St.,22,12
MBB,2008-09,78,Providence,19,14
MBB,2008-09,79,Northwestern,17,14
MBB,2008-09,80,Green Bay,22,11
MBB,2008-09,81,Old Dominion,25,10
MBB,2008-09,82,UTEP,23,14
MBB,2008-09,83,Mississippi,16,15
MBB,2008-09,84,Northeastern,19,13
MBB,2008-09,85,Miami (OH),17,13
MBB,2008-09,86,North Dakota St.,26,7
MBB,2008-09,87,Cincinnati,18,14
MBB,2008-09,88,Binghamton,23,9
MBB,2008-09,89,Washington St.,17,16
MBB,2008-09,90,Nevada,21,13
MBB,2008-09,91,Houston,21,12
MBB,2008-09,92,Vermont,24,9
MBB,2008-09,93,UALR,23,8
MBB,2008-09,94,Bradley,21,15
MBB,2008-09,95,Stanford,20,14
MBB,2008-09,96,Vanderbilt,19,12
MBB,2008-09,97,Fairfield,17,15
MBB,2008-09,98,Wright St.,20,13
MBB,2008-09,99,Col. of Charleston,27,9
MBB,2008-09,100,Seton Hall,17,15
MBB,2008-09,101,Buffalo,21,12
MBB,2008-09,102,Hofstra,21,11
MBB,2008-09,103,Akron,23,13
MBB,2008-09,104,St. Joseph's,17,15
MBB,2008-09,105,Weber St.,21,10
MBB,2008-09,106,Oregon St.,18,18
MBB,2008-09,107,Evansville,17,14
MBB,2008-09,108,Robert Morris,24,11
MBB,2008-09,109,Alabama,18,14
MBB,2008-09,110,North Carolina St.,16,14
MBB,2008-09,111,East Tenn. St.,23,11
MBB,2008-09,112,Wyoming,19,14
MBB,2008-09,113,La Salle,18,13
MBB,2008-09,114,Boise St.,19,13
MBB,2008-09,115,Cornell,21,10
MBB,2008-09,116,Portland St.,23,10
MBB,2008-09,117,Virginia,10,18
MBB,2008-09,118,Belmont,20,13
MBB,2008-09,119,Texas Tech,14,19
MBB,2008-09,120,New Mexico St.,17,15
MBB,2008-09,121,Oakland,23,13
MBB,2008-09,122,James Madison,21,15
MBB,2008-09,123,Mt. St. Mary's,19,14
MBB,2008-09,124,Iowa,15,17
MBB,2008-09,125,Richmond,20,16
MBB,2008-09,126,Cal St. Northridge,17,14
MBB,2008-09,127,Portland,19,13
MBB,2008-09,128,St. Louis,18,14
MBB,2008-09,129,Morgan St.,23,12
MBB,2008-09,130,North Texas,20,12
MBB,2008-09,131,VMI,24,8
MBB,2008-09,132,Radford,21,12
MBB,2008-09,133,Rider,19,13
MBB,2008-09,134,Drexel,15,14
MBB,2008-09,135,Morehead St.,20,16
MBB,2008-09,136,Milwaukee,17,14
MBB,2008-09,137,Idaho,17,16
MBB,2008-09,138,Pacific,21,13
MBB,2008-09,139,A&M-Corpus Christi,18,15
MBB,2008-09,140,Tenn.-Martin,22,10
MBB,2008-09,141,Troy,19,13
MBB,2008-09,142,Georgia Tech,12,19
MBB,2008-09,143,Oral Roberts,16,15
MBB,2008-09,144,Jacksonville,18,14
MBB,2008-09,145,Kent St.,19,15
MBB,2008-09,146,Austin Peay,19,14
MBB,2008-09,147,South Ala.,20,13
MBB,2008-09,148,Murray St.,19,12
MBB,2008-09,149,Arkansas,14,16
MBB,2008-09,150,Southern Ill.,13,18
MBB,2008-09,151,Sam Houston St.,18,12
MBB,2008-09,152,Liberty,23,12
MBB,2008-09,153,St. John's (NY),16,18
MBB,2008-09,154,Massachusetts,12,18
MBB,2008-09,155,Long Beach St.,15,15
MBB,2008-09,156,Nicholls St.,20,11
MBB,2008-09,157,Bowling Green,19,14
MBB,2008-09,158,Boston U.,17,13
MBB,2008-09,159,Southern Miss.,15,17
MBB,2008-09,160,Wichita St.,17,17
MBB,2008-09,161,Manhattan,16,14
MBB,2008-09,162,Iowa St.,15,17
MBB,2008-09,163,UCF,17,14
MBB,2008-09,164,UMBC,15,17
MBB,2008-09,165,Navy,19,11
MBB,2008-09,166,Ill.-Chicago,16,15
MBB,2008-09,167,Holy Cross,18,14
MBB,2008-09,168,Middle Tenn.,18,14
MBB,2008-09,169,TCU,14,17
MBB,2008-09,170,Marshall,15,17
MBB,2008-09,171,Drake,17,16
MBB,2008-09,172,Citadel,20,13
MBB,2008-09,173,Eastern Ky.,18,13
MBB,2008-09,174,Chattanooga,18,17
MBB,2008-09,175,Oregon,8,23
MBB,2008-09,176,UC Santa Barbara,16,15
MBB,2008-09,177,Wofford,16,14
MBB,2008-09,178,Albany (NY),15,16
MBB,2008-09,179,Louisiana Tech,15,18
MBB,2008-09,180,Jackson St.,18,15
MBB,2008-09,181,Mercer,17,15
MBB,2008-09,182,Sacred Heart,17,14
MBB,2008-09,183,UTSA,19,13
MBB,2008-09,184,Texas-Arlington,16,14
MBB,2008-09,185,Alabama St.,22,10
MBB,2008-09,186,Montana,17,12
MBB,2008-09,187,Ohio,15,17
MBB,2008-09,188,Tulane,14,17
MBB,2008-09,189,Western Caro.,16,15
MBB,2008-09,190,South Fla.,9,22
MBB,2008-09,191,Rutgers,11,21
MBB,2008-09,192,St. Bonaventure,15,15
MBB,2008-09,193,San Jose St.,13,17
MBB,2008-09,194,Georgia,12,20
MBB,2008-09,195,Cal St. Fullerton,15,17
MBB,2008-09,196,Stony Brook,16,14
MBB,2008-09,197,San Diego,16,16
MBB,2008-09,198,Santa Clara,16,17
MBB,2008-09,199,Loyola (MD),12,20
MBB,2008-09,200,UNC Asheville,15,16
MBB,2008-09,201,New Hampshire,14,16
MBB,2008-09,202,UC Riverside,17,13
MBB,2008-09,203,George Washington,10,18
MBB,2008-09,204,Lamar,15,15
MBB,2008-09,205,Indiana St.,11,21
MBB,2008-09,206,DePaul,9,24
MBB,2008-09,207,Canisius,11,20
MBB,2008-09,208,Charlotte,11,20
MBB,2008-09,208,Idaho St.,13,19
MBB,2008-09,210,Montana St.,14,17
MBB,2008-09,211,Indiana,6,25
MBB,2008-09,212,Missouri St.,11,20
MBB,2008-09,213,Iona,12,19
MBB,2008-09,214,Loyola (IL),14,18
MBB,2008-09,215,Presbyterian,12,17
MBB,2008-09,216,Towson,12,22
MBB,2008-09,217,Colorado St.,9,22
MBB,2008-09,218,Coppin St.,13,19
MBB,2008-09,219,Gardner-Webb,13,17
MBB,2008-09,220,FIU,13,20
MBB,2008-09,221,Rice,10,22
MBB,2008-09,222,Delaware,13,19
MBB,2008-09,223,Fresno St.,13,21
MBB,2008-09,224,Denver,15,16
MBB,2008-09,225,Yale,13,15
MBB,2008-09,226,Stetson,13,17
MBB,2008-09,227,East Carolina,13,17
MBB,2008-09,228,IPFW,13,17
MBB,2008-09,229,Samford,16,16
MBB,2008-09,230,Georgia St.,12,20
MBB,2008-09,231,Central Conn. St.,13,17
MBB,2008-09,232,Chicago St.,19,13
MBB,2008-09,233,Colorado,9,22
MBB,2008-09,234,Quinnipiac,15,16
MBB,2008-09,235,Eastern Wash.,12,18
MBB,2008-09,236,Lipscomb,17,14
MBB,2008-09,237,UC Irvine,12,19
MBB,2008-09,238,William & Mary,10,20
MBB,2008-09,239,Utah Valley,17,11
MBB,2008-09,240,Long Island,16,14
MBB,2008-09,241,Arkansas St.,13,17
MBB,2008-09,242,IUPUI,16,14
MBB,2008-09,243,Hampton,16,16
MBB,2008-09,244,Youngstown St.,11,19
MBB,2008-09,245,Harvard,14,14
MBB,2008-09,246,Hawaii,13,17
MBB,2008-09,247,Southeastern La.,13,17
MBB,2008-09,248,Wagner,16,14
MBB,2008-09,249,Bethune-Cookman,17,16
MBB,2008-09,250,Lehigh,15,14
MBB,2008-09,251,Ark.-Pine Bluff,13,18
MBB,2008-09,252,Penn,10,18
MBB,2008-09,253,Appalachian St.,13,18
MBB,2008-09,254,San Francisco,11,19
MBB,2008-09,255,Winthrop,11,19
MBB,2008-09,256,St. Peter's,11,19
MBB,2008-09,257,Campbell,14,16
MBB,2008-09,258,South Carolina St.,17,14
MBB,2008-09,259,Savannah St.,15,14
MBB,2008-09,260,Valparaiso,9,22
MBB,2008-09,261,Marist,10,23
MBB,2008-09,262,Ball St.,14,17
MBB,2008-09,263,UC Davis,13,19
MBB,2008-09,264,N.C. A&T,16,16
MBB,2008-09,265,Jacksonville St.,11,17
MBB,2008-09,266,La.-Lafayette,10,20
MBB,2008-09,267,Southern Utah,11,20
MBB,2008-09,268,Texas St.,14,16
MBB,2008-09,269,Tennessee St.,12,18
MBB,2008-09,270,Prairie View,17,16
MBB,2008-09,271,SMU,9,21
MBB,2008-09,272,Tennessee Tech,12,18
MBB,2008-09,273,UNC Wilmington,7,25
MBB,2008-09,274,Northern Colo.,14,18
MBB,2008-09,275,Air Force,10,21
MBB,2008-09,276,Colgate,10,20
MBB,2008-09,277,Army,11,19
MBB,2008-09,278,Pepperdine,9,23
MBB,2008-09,279,Elon,11,20
MBB,2008-09,280,St. Francis (NY),10,20
MBB,2008-09,281,New Orleans,11,19
MBB,2008-09,282,Detroit,7,23
MBB,2008-09,283,Princeton,13,14
MBB,2008-09,284,South Dakota St.,13,20
MBB,2008-09,285,La.-Monroe,10,20
MBB,2008-09,286,Maine,9,21
MBB,2008-09,287,S.C. Upstate,9,21
MBB,2008-09,288,Columbia,12,16
MBB,2008-09,289,Eastern Ill.,12,18
MBB,2008-09,290,Norfolk St.,13,18
MBB,2008-09,291,Fordham,3,25
MBB,2008-09,292,Longwood,17,14
MBB,2008-09,293,Centenary (LA),8,23
MBB,2008-09,294,Bucknell,7,23
MBB,2008-09,295,Northern Ariz.,8,19
MBB,2008-09,296,Hartford,7,26
MBB,2008-09,297,McNeese St.,11,18
MBB,2008-09,298,Delaware St.,8,24
MBB,2008-09,299,Central Mich.,12,19
MBB,2008-09,300,Cal St. Bakersfield,8,21
MBB,2008-09,301,Ga. Southern,8,22
MBB,2008-09,302,Western Mich.,10,21
MBB,2008-09,303,Coastal Caro.,11,20
MBB,2008-09,304,Florida A&M,10,21
MBB,2008-09,305,Cal Poly,7,21
MBB,2008-09,306,Bryant,8,21
MBB,2008-09,307,Brown,9,19
MBB,2008-09,308,Lafayette,8,22
MBB,2008-09,309,UMKC,7,24
MBB,2008-09,310,Fla. Gulf Coast,11,20
MBB,2008-09,311,Northwestern St.,11,20
MBB,2008-09,312,Fla. Atlantic,6,26
MBB,2008-09,313,Houston Baptist,5,25
MBB,2008-09,314,Fairleigh Dickinson,7,23
MBB,2008-09,315,Dartmouth,9,19
MBB,2008-09,316,UNC Greensboro,5,25
MBB,2008-09,317,Loyola Marymount,3,28
MBB,2008-09,318,Toledo,7,25
MBB,2008-09,319,Central Ark.,10,19
MBB,2008-09,320,Eastern Mich.,8,24
MBB,2008-09,321,Monmouth,8,23
MBB,2008-09,322,St. Francis (PA),6,23
MBB,2008-09,323,Texas Southern,7,25
MBB,2008-09,324,Charleston So.,9,20
MBB,2008-09,325,High Point,9,21
MBB,2008-09,326,North Fla.,8,22
MBB,2008-09,327,Winston-Salem,8,22
MBB,2008-09,328,Western Ill.,9,20
MBB,2008-09,329,Howard,8,23
MBB,2008-09,330,Northern Ill.,10,20
MBB,2008-09,331,Tex.-Pan American,10,17
MBB,2008-09,332,Furman,6,24
MBB,2008-09,333,Mississippi Val.,7,25
MBB,2008-09,334,Alabama A&M,8,19
MBB,2008-09,335,Southern U.,8,23
MBB,2008-09,336,Kennesaw St.,7,22
MBB,2008-09,337,Md.-East. Shore,7,23
MBB,2008-09,338,N.C. Central,4,27
MBB,2008-09,339,Southeast Mo. St.,3,27
MBB,2008-09,340,Grambling,6,23
MBB,2008-09,341,Sacramento St.,2,27
MBB,2008-09,342,Alcorn St.,6,25
MBB,2008-09,343,NJIT,1,30
