Sport,Season,Team,W,L,Rank,Conf
MBB,2019-20,Gonzaga,31,2,1,WCC
MBB,2019-20,Kansas,27,3,2,Big 12
MBB,2019-20,Dayton,29,2,3,Atlantic 10
MBB,2019-20,San Diego St.,29,2,4,Mountain West
MBB,2019-20,Baylor,26,4,5,Big 12
MBB,2019-20,Duke,25,6,6,ACC
MBB,2019-20,Michigan St.,22,9,7,Big Ten
MBB,2019-20,Louisville,24,7,8,ACC
MBB,2019-20,BYU,23,8,9,WCC
MBB,2019-20,Florida St.,26,5,10,ACC
MBB,2019-20,Creighton,23,7,11,Big East
MBB,2019-20,Oregon,24,7,12,Pac-12
MBB,2019-20,Villanova,24,7,13,Big East
MBB,2019-20,Arizona,21,11,14,Pac-12
MBB,2019-20,Seton Hall,21,9,15,Big East
MBB,2019-20,Ohio St.,21,10,16,Big Ten
MBB,2019-20,West Virginia,21,10,17,Big 12
MBB,2019-20,Maryland,24,7,18,Big Ten
MBB,2019-20,Butler,22,9,19,Big East
MBB,2019-20,Houston,23,8,20,AAC
MBB,2019-20,Kentucky,25,6,21,SEC
MBB,2019-20,Texas Tech,18,13,22,Big 12
MBB,2019-20,Wisconsin,21,10,23,Big Ten
MBB,2019-20,Michigan,19,12,24,Big Ten
MBB,2019-20,Colorado,21,11,25,Pac-12
MBB,2019-20,Marquette,18,12,26,Big East
MBB,2019-20,Auburn,25,6,27,SEC
MBB,2019-20,LSU,21,10,28,SEC
MBB,2019-20,Florida,19,12,29,SEC
MBB,2019-20,Rutgers,19,11,30,Big Ten
MBB,2019-20,Saint Mary's (CA),25,8,31,WCC
MBB,2019-20,Purdue,16,15,32,Big Ten
MBB,2019-20,Stanford,20,12,33,Pac-12
MBB,2019-20,Iowa,20,11,34,Big Ten
MBB,2019-20,Penn St.,21,10,35,Big Ten
MBB,2019-20,ETSU,27,4,36,SoCon
MBB,2019-20,Providence,19,12,37,Big East
MBB,2019-20,Richmond,24,7,38,Atlantic 10
MBB,2019-20,Illinois,20,10,39,Big Ten
MBB,2019-20,Utah St.,24,8,40,Mountain West
MBB,2019-20,Wichita St.,23,8,41,AAC
MBB,2019-20,Minnesota,15,16,42,Big Ten
MBB,2019-20,Arkansas,20,12,43,SEC
MBB,2019-20,Virginia,23,7,44,ACC
MBB,2019-20,Southern California,22,9,45,Pac-12
MBB,2019-20,Oklahoma,19,12,46,Big 12
MBB,2019-20,Xavier,19,13,47,Big East
MBB,2019-20,UNI,23,6,48,MVC
MBB,2019-20,Saint Louis,22,8,49,Atlantic 10
MBB,2019-20,Mississippi St.,20,11,50,SEC
MBB,2019-20,Cincinnati,20,10,51,AAC
MBB,2019-20,Notre Dame,20,12,52,ACC
MBB,2019-20,NC State,20,12,53,ACC
MBB,2019-20,Arizona St.,20,11,54,Pac-12
MBB,2019-20,Alabama,16,15,55,SEC
MBB,2019-20,Indiana,20,12,56,Big Ten
MBB,2019-20,Rhode Island,21,9,57,Atlantic 10
MBB,2019-20,Washington,15,17,58,Pac-12
MBB,2019-20,Memphis,21,10,59,AAC
MBB,2019-20,UConn,19,12,60,AAC
MBB,2019-20,Syracuse,18,14,61,ACC
MBB,2019-20,St. John's (NY),17,15,62,Big East
MBB,2019-20,Tennessee,17,14,63,SEC
MBB,2019-20,Oklahoma St.,18,14,64,Big 12
MBB,2019-20,Georgetown,15,17,65,Big East
MBB,2019-20,South Carolina,18,13,66,SEC
MBB,2019-20,Liberty,28,4,67,ASUN
MBB,2019-20,VCU,18,13,68,Atlantic 10
MBB,2019-20,Yale,21,7,69,Ivy League
MBB,2019-20,Texas,19,12,70,Big 12
MBB,2019-20,Oregon St.,18,13,71,Pac-12
MBB,2019-20,Georgia Tech,16,14,72,ACC
MBB,2019-20,Akron,22,7,73,MAC
MBB,2019-20,Furman,22,7,74,SoCon
MBB,2019-20,Davidson,16,14,75,Atlantic 10
MBB,2019-20,UCLA,18,12,76,Pac-12
MBB,2019-20,SFA,25,3,77,Southland
MBB,2019-20,Tulsa,21,10,78,AAC
MBB,2019-20,Vermont,25,7,79,America East
MBB,2019-20,North Carolina,14,19,80,ACC
MBB,2019-20,Clemson,16,15,81,ACC
MBB,2019-20,UNC Greensboro,21,9,82,SoCon
MBB,2019-20,San Francisco,21,12,83,WCC
MBB,2019-20,Missouri,15,16,84,SEC
MBB,2019-20,Utah,16,15,85,Pac-12
MBB,2019-20,DePaul,15,16,86,Big East
MBB,2019-20,Louisiana Tech,20,8,87,C-USA
MBB,2019-20,SMU,19,11,88,AAC
MBB,2019-20,Nevada,19,12,89,Mountain West
MBB,2019-20,Boise St.,19,12,90,Mountain West
MBB,2019-20,Georgia,15,16,91,SEC
MBB,2019-20,Virginia Tech,16,16,92,ACC
MBB,2019-20,TCU,15,16,93,Big 12
MBB,2019-20,Duquesne,21,9,94,Atlantic 10
MBB,2019-20,North Texas,18,11,95,C-USA
MBB,2019-20,Iowa St.,12,20,96,Big 12
MBB,2019-20,Ole Miss,15,17,97,SEC
MBB,2019-20,Loyola Chicago,20,11,98,MVC
MBB,2019-20,Kansas St.,11,21,99,Big 12
MBB,2019-20,Northern Colo.,20,9,100,Big Sky
MBB,2019-20,Belmont,25,7,101,OVC
MBB,2019-20,Bradley,22,11,102,MVC
MBB,2019-20,Miami (FL),15,16,103,ACC
MBB,2019-20,New Mexico St.,23,6,104,WAC
MBB,2019-20,Indiana St.,17,12,105,MVC
MBB,2019-20,Colorado St.,19,12,106,Mountain West
MBB,2019-20,Harvard,20,8,107,Ivy League
MBB,2019-20,UNLV,17,15,108,Mountain West
MBB,2019-20,Pittsburgh,16,17,109,ACC
MBB,2019-20,Pacific,21,10,110,WCC
MBB,2019-20,Wake Forest,13,18,111,ACC
MBB,2019-20,Ball St.,17,13,112,MAC
MBB,2019-20,Texas A&M,16,14,113,SEC
MBB,2019-20,UC Irvine,19,11,114,Big West
MBB,2019-20,Washington St.,16,16,115,Pac-12
