Sport,Season,Rank,Team,W,L
MFB,2012-13,1,Alabama Crimson Tide,13,1
MFB,2012-13,2,Oregon Ducks,12,1
MFB,2012-13,3,Texas A&M Aggies,11,2
MFB,2012-13,4,Georgia Bulldogs,12,2
MFB,2012-13,5,Florida State Seminoles,12,2
MFB,2012-13,6,Oklahoma Sooners,10,3
MFB,2012-13,50,Notre Dame Fighting Irish,12,1
MFB,2012-13,8,Oklahoma State Cowboys,8,5
MFB,2012-13,9,Kansas State Wildcats,11,2
MFB,2012-13,10,LSU Tigers,10,3
MFB,2012-13,11,South Carolina Gamecocks,11,2
MFB,2012-13,12,Florida Gators,11,2
MFB,2012-13,13,Stanford Cardinal,12,2
MFB,2012-13,14,Clemson Tigers,11,2
MFB,2012-13,15,USC Trojans,7,6
MFB,2012-13,16,Michigan Wolverines,8,5
MFB,2012-13,17,Ohio State Buckeyes,12,0
MFB,2012-13,18,Texas Longhorns,9,4
MFB,2012-13,19,Baylor Bears,8,5
MFB,2012-13,20,Oregon State Beavers,9,4
MFB,2012-13,21,Wisconsin Badgers,8,6
MFB,2012-13,22,Arizona State Sun Devils,8,5
MFB,2012-13,23,UCLA Bruins,9,5
MFB,2012-13,24,Nebraska Cornhuskers,10,4
MFB,2012-13,25,TCU Horned Frogs,7,6
MFB,2012-13,26,Vanderbilt Commodores,9,4
MFB,2012-13,27,BYU Cougars,8,5
MFB,2012-13,28,North Carolina Tar Heels,8,4
MFB,2012-13,29,Ole Miss Rebels,7,6
MFB,2012-13,30,Texas Tech Red Raiders,8,5
MFB,2012-13,31,Penn State Nittany Lions,8,4
MFB,2012-13,32,Utah State Aggies,11,2
MFB,2012-13,33,Michigan State Spartans,7,6
MFB,2012-13,34,UCF Knights,10,4
MFB,2012-13,35,Tennessee Volunteers,5,7
MFB,2012-13,36,Cincinnati Bearcats,10,3
MFB,2012-13,37,Boise State Broncos,11,2
MFB,2012-13,38,Northern Illinois Huskies,12,2
MFB,2012-13,39,Missouri Tigers,5,7
MFB,2012-13,40,Mississippi State Bulldogs,8,5
MFB,2012-13,41,Northwestern Wildcats,10,3
MFB,2012-13,42,West Virginia Mountaineers,7,6
MFB,2012-13,43,Georgia Tech Yellow Jackets,7,7
MFB,2012-13,44,Miami Hurricanes,7,5
MFB,2012-13,45,Syracuse Orange,8,5
MFB,2012-13,46,Arizona Wildcats,8,5
MFB,2012-13,47,Utah Utes,5,7
MFB,2012-13,48,Virginia Tech Hokies,7,6
MFB,2012-13,49,Louisiana Tech Bulldogs,9,3
MFB,2012-13,50,Louisville Cardinals,11,2
MFB,2012-13,51,Fresno State Bulldogs,9,4
MFB,2012-13,52,Tulsa Golden Hurricane,11,3
MFB,2012-13,53,Pittsburgh Panthers,6,7
MFB,2012-13,54,Washington Huskies,7,6
MFB,2012-13,55,Iowa State Cyclones,6,7
MFB,2012-13,56,San Jose State Spartans,11,2
MFB,2012-13,57,Rutgers Scarlet Knights,9,4
MFB,2012-13,58,NC State Wolfpack,7,6
MFB,2012-13,59,Arkansas Razorbacks,4,8
MFB,2012-13,60,Arkansas State Red Wolves,10,3
MFB,2012-13,61,San Diego State Aztecs,9,4
MFB,2012-13,62,California Golden Bears,3,9
MFB,2012-13,63,Kent State Golden Flashes,11,3
MFB,2012-13,64,Purdue Boilermakers,6,7
MFB,2012-13,65,Iowa Hawkeyes,4,8
MFB,2012-13,66,Louisiana Ragin' Cajuns,9,4
MFB,2012-13,67,Auburn Tigers,3,9
MFB,2012-13,68,South Florida Bulls,3,9
MFB,2012-13,69,SMU Mustangs,7,6
MFB,2012-13,70,Minnesota Golden Gophers,6,7
MFB,2012-13,71,Ball State Cardinals,9,4
MFB,2012-13,72,Nevada Wolf Pack,7,6
MFB,2012-13,73,Duke Blue Devils,6,7
MFB,2012-13,74,Connecticut Huskies,5,7
MFB,2012-13,75,Virginia Cavaliers,4,8
MFB,2012-13,76,Louisiana Monroe Warhawks,8,5
MFB,2012-13,77,Boston College Eagles,2,10
MFB,2012-13,78,Toledo Rockets,9,4
MFB,2012-13,79,Ohio Bobcats,9,4
MFB,2012-13,80,Bowling Green Falcons,8,5
MFB,2012-13,81,Maryland Terrapins,4,8
MFB,2012-13,82,Western Kentucky Hilltoppers,7,6
MFB,2012-13,83,Indiana Hoosiers,4,8
MFB,2012-13,84,East Carolina Pirates,8,5
MFB,2012-13,85,Kentucky Wildcats,2,10
MFB,2012-13,86,Temple Owls,4,7
MFB,2012-13,87,Houston Cougars,5,7
