Sport,Season,Rank,Team,W,L
MFB,2006-07,1,Ohio St.,12,1
MFB,2006-07,2,USC,11,2
MFB,2006-07,3,LSU,11,2
MFB,2006-07,4,Texas,10,3
MFB,2006-07,5,Louisville,12,1
MFB,2006-07,6,Florida,13,1
MFB,2006-07,7,Michigan,11,2
MFB,2006-07,8,California,10,3
MFB,2006-07,9,BYU,11,2
MFB,2006-07,10,West Virginia,11,2
MFB,2006-07,11,Oklahoma,11,3
MFB,2006-07,12,Auburn,11,2
MFB,2006-07,13,Nebraska,9,5
MFB,2006-07,14,Arkansas,10,4
MFB,2006-07,15,Tennessee,9,4
MFB,2006-07,16,Clemson,8,5
MFB,2006-07,50,Notre Dame,10,3
MFB,2006-07,18,Virginia Tech,10,3
MFB,2006-07,19,Wisconsin,12,1
MFB,2006-07,20,Boise St.,13,0
MFB,2006-07,21,Rutgers,11,2
MFB,2006-07,22,Penn State,9,4
MFB,2006-07,23,TCU,11,2
MFB,2006-07,24,Boston College,10,3
MFB,2006-07,25,Texas Tech,8,5
MFB,2006-07,26,Hawaii,11,3
MFB,2006-07,27,Oregon,7,6
MFB,2006-07,28,South Carolina,8,5
MFB,2006-07,29,Missouri,8,5
MFB,2006-07,30,Texas A&M,9,4
MFB,2006-07,31,Georgia,9,4
MFB,2006-07,32,Florida St.,7,6
MFB,2006-07,33,Oregon St.,10,4
MFB,2006-07,34,Oklahoma St.,7,6
MFB,2006-07,35,UCLA,7,6
MFB,2006-07,36,Iowa,6,7
MFB,2006-07,37,Arizona St.,7,6
MFB,2006-07,38,Pittsburgh,6,6
MFB,2006-07,39,Minnesota,6,7
MFB,2006-07,40,Alabama,6,7
MFB,2006-07,41,Georgia Tech,9,5
MFB,2006-07,42,Washington St.,6,6
MFB,2006-07,43,Miami (FL),7,6
MFB,2006-07,44,Wake Forest,11,3
MFB,2006-07,45,Arizona,6,6
MFB,2006-07,46,Utah,8,5
MFB,2006-07,47,South Florida,9,4
MFB,2006-07,48,Washington,5,7
MFB,2006-07,49,Cincinnati,8,5
MFB,2006-07,50,Houston,10,4
MFB,2006-07,51,Tulsa,8,5
MFB,2006-07,52,Southern Miss,9,5
MFB,2006-07,53,Nevada,8,5
MFB,2006-07,54,Navy,9,4
MFB,2006-07,55,Maryland,9,4
MFB,2006-07,56,Michigan St.,4,8
MFB,2006-07,57,Kansas St.,7,6
MFB,2006-07,58,Kansas,6,6
MFB,2006-07,59,Kentucky,8,5
MFB,2006-07,60,Purdue,8,6
MFB,2006-07,61,Central Michigan,10,4
MFB,2006-07,62,Virginia,5,7
MFB,2006-07,63,NC State,3,9
MFB,2006-07,64,Vanderbilt,4,8
MFB,2006-07,65,Northern Illinois,7,6
MFB,2006-07,66,East Carolina,7,6
MFB,2006-07,67,Air Force,4,8
MFB,2006-07,68,Connecticut,4,8
MFB,2006-07,69,Mississippi St.,3,9
MFB,2006-07,70,Syracuse,4,8
MFB,2006-07,71,Colorado,2,10
MFB,2006-07,72,Illinois,2,10
MFB,2006-07,73,Wyoming,6,6
MFB,2006-07,74,Western Michigan,8,5
MFB,2006-07,75,Indiana,5,7
MFB,2006-07,76,Iowa St.,4,8
MFB,2006-07,77,Ball St.,5,7
MFB,2006-07,78,Ole Miss,4,8
MFB,2006-07,79,Northwestern,4,8
MFB,2006-07,80,Ohio,9,5
MFB,2006-07,81,New Mexico,6,7
MFB,2006-07,82,Baylor,4,8
MFB,2006-07,83,North Carolina,3,9
MFB,2006-07,84,Fresno St.,4,8
MFB,2006-07,85,SMU,6,6
MFB,2006-07,86,San Jose St.,9,4
MFB,2006-07,87,Marshall,5,7
MFB,2006-07,88,Akron,5,7
MFB,2006-07,89,Middle Tennessee,7,6
MFB,2006-07,90,Colorado St.,4,8
MFB,2006-07,91,Stanford,1,11
MFB,2006-07,92,Rice,7,6
MFB,2006-07,93,UTEP,5,7
MFB,2006-07,94,Toledo,5,7
