Sport,Season,Rank,Team,W,L
WBB,2021-22,1,South Carolina,35,2
WBB,2021-22,2,Stanford,32,4
WBB,2021-22,3,North Carolina State,32,4
WBB,2021-22,4,Connecticut,30,6
WBB,2021-22,5,Louisville,29,5
WBB,2021-22,6,UCF,26,4
WBB,2021-22,7,Michigan,25,7
WBB,2021-22,8,Texas,29,7
WBB,2021-22,9,Maryland,23,9
WBB,2021-22,10,Tennessee,25,9
WBB,2021-22,11,Iowa State,28,7
WBB,2021-22,12,Indiana,24,9
WBB,2021-22,13,Princeton,25,5
WBB,2021-22,14,Notre Dame,24,9
WBB,2021-22,15,Gonzaga,27,7
WBB,2021-22,16,North Carolina,25,7
WBB,2021-22,17,Baylor,28,7
WBB,2021-22,18,Iowa,24,8
WBB,2021-22,19,South Florida,24,9
WBB,2021-22,20,FGCU,27,3
WBB,2021-22,21,LSU,26,6
WBB,2021-22,22,BYU,26,4
WBB,2021-22,23,Oklahoma,25,9
WBB,2021-22,24,Virginia Tech,23,10
WBB,2021-22,25,Ohio State,25,7
WBB,2021-22,26,Georgia,21,10
WBB,2021-22,27,UMass,26,7
WBB,2021-22,28,Ole Miss,23,9
WBB,2021-22,29,Arizona,21,8
WBB,2021-22,30,Dayton,26,6
WBB,2021-22,31,South Dakota,28,6
WBB,2021-22,32,Oregon,19,12
WBB,2021-22,33,Villanova,24,9
WBB,2021-22,34,Kentucky,19,12
WBB,2021-22,35,Creighton,23,10
WBB,2021-22,36,Florida,21,11
WBB,2021-22,37,Nebraska,24,9
WBB,2021-22,38,Washington State,19,11
WBB,2021-22,39,Colorado,22,9
WBB,2021-22,40,South Dakota State,28,9
WBB,2021-22,41,Middle Tennessee,27,8
WBB,2021-22,42,Utah,21,12
WBB,2021-22,43,Missouri State,24,8
WBB,2021-22,44,Miami (FL),21,13
WBB,2021-22,45,Buffalo,25,9
WBB,2021-22,46,Liberty,25,5
WBB,2021-22,47,Fordham,18,11
WBB,2021-22,48,Delaware,23,8
WBB,2021-22,49,Kansas State,20,13
WBB,2021-22,50,Arkansas,18,14
WBB,2021-22,51,Rhode Island,22,7
WBB,2021-22,52,Toledo,29,6
WBB,2021-22,53,Kansas,21,10
WBB,2021-22,54,Tulane,20,10
WBB,2021-22,55,Seton Hall,24,13
WBB,2021-22,56,Drexel,28,6
WBB,2021-22,57,UTA,20,8
WBB,2021-22,58,Missouri,18,13
WBB,2021-22,59,Houston,18,16
WBB,2021-22,60,Boston College,21,12
WBB,2021-22,61,Charlotte,22,10
WBB,2021-22,62,Fairfield,25,7
WBB,2021-22,63,IUPUI,24,5
WBB,2021-22,64,Towson,22,8
WBB,2021-22,65,Stephen F. Austin,26,5
WBB,2021-22,66,Columbia,25,7
WBB,2021-22,67,Georgia Tech,21,11
WBB,2021-22,68,Oregon State,17,14
WBB,2021-22,69,Belmont,23,8
WBB,2021-22,70,Marquette,23,11
WBB,2021-22,71,UNLV,26,7
WBB,2021-22,72,Bucknell,24,10
WBB,2021-22,73,Alabama,20,14
WBB,2021-22,74,DePaul,22,11
WBB,2021-22,75,Southern Illinois,20,10
WBB,2021-22,76,Northern Iowa,22,11
WBB,2021-22,77,Troy,22,9
WBB,2021-22,78,Duke,17,13
WBB,2021-22,79,UCLA,18,13
WBB,2021-22,80,Northwestern,17,12
WBB,2021-22,81,Texas A&M,14,15
WBB,2021-22,82,UMKC,21,9
WBB,2021-22,83,VCU,16,12
WBB,2021-22,84,Mississippi State,15,14
WBB,2021-22,85,Florida State,17,14
WBB,2021-22,86,Old Dominion,23,10
WBB,2021-22,87,American,23,9
WBB,2021-22,88,West Virginia,15,15
WBB,2021-22,89,Vanderbilt,16,19
WBB,2021-22,90,Stony Brook,23,6
WBB,2021-22,91,New Mexico,25,10
WBB,2021-22,92,Portland,18,11
