Sport,Season,Team,W,L,Rank,Conf
WSB,2019-20,Louisiana,16,6,1,Sun Belt
WSB,2019-20,UCLA,25,1,2,Pac-12
WSB,2019-20,Texas,24,3,3,Big 12
WSB,2019-20,Washington,23,2,4,Pac-12
WSB,2019-20,Florida,21,4,5,SEC
WSB,2019-20,Arizona,21,3,6,Pac-12
WSB,2019-20,UCF,19,5,7,AAC
WSB,2019-20,Oklahoma St.,18,5,8,Big 12
WSB,2019-20,Virginia Tech,19,4,9,ACC
WSB,2019-20,Oregon,21,2,10,Pac-12
WSB,2019-20,Duke,22,4,11,ACC
WSB,2019-20,Fresno St.,21,4,12,Mountain West
WSB,2019-20,Alabama,14,8,13,SEC
WSB,2019-20,Oklahoma,20,4,14,Big 12
WSB,2019-20,South Carolina,15,6,15,SEC
WSB,2019-20,Missouri,19,6,16,SEC
WSB,2019-20,Cal St. Fullerton,14,9,17,Big West
WSB,2019-20,Michigan,15,8,18,Big Ten
WSB,2019-20,LSU,20,3,19,SEC
WSB,2019-20,Mississippi St.,24,3,20,SEC
WSB,2019-20,Tennessee,14,8,21,SEC
WSB,2019-20,Minnesota,14,9,22,Big Ten
WSB,2019-20,Notre Dame,12,9,23,ACC
WSB,2019-20,Arkansas,17,6,24,SEC
WSB,2019-20,Utah,14,4,25,Pac-12
WSB,2019-20,Troy,15,6,26,Sun Belt
WSB,2019-20,Kentucky,18,4,27,SEC
WSB,2019-20,Arizona St.,21,7,28,Pac-12
WSB,2019-20,Florida St.,17,6,29,ACC
WSB,2019-20,NC State,17,6,30,ACC
WSB,2019-20,Western Ky.,20,4,31,C-USA
WSB,2019-20,North Texas,18,5,32,C-USA
WSB,2019-20,Georgia,22,5,33,SEC
WSB,2019-20,Houston,16,5,34,AAC
WSB,2019-20,Baylor,17,5,35,Big 12
WSB,2019-20,McNeese,18,7,36,Southland
WSB,2019-20,San Diego St.,17,11,37,Mountain West
WSB,2019-20,Iowa,17,5,38,Big Ten
WSB,2019-20,South Fla.,15,9,39,AAC
WSB,2019-20,Northwestern,11,12,40,Big Ten
WSB,2019-20,UNLV,21,5,41,Mountain West
WSB,2019-20,BYU,14,9,42,WCC
WSB,2019-20,Lipscomb,11,10,43,ASUN
WSB,2019-20,Oregon St.,17,9,44,Pac-12
WSB,2019-20,North Florida,11,6,45,ASUN
WSB,2019-20,Auburn,14,11,46,SEC
WSB,2019-20,Boston U.,13,7,47,Patriot
WSB,2019-20,Eastern Ky.,20,2,48,OVC
WSB,2019-20,Texas A&M,16,8,49,SEC
WSB,2019-20,Kansas,13,11,50,Big 12
WSB,2019-20,UConn,15,5,51,AAC
WSB,2019-20,Indiana,9,9,52,Big Ten
WSB,2019-20,James Madison,13,6,53,CAA
WSB,2019-20,Kennesaw St.,21,4,54,ASUN
