Sport,Season,Rank,Team,W,L
WVB,2016-17,1,Minnesota,29,5
WVB,2016-17,2,Texas,27,5
WVB,2016-17,3,Nebraska,31,3
WVB,2016-17,4,Wisconsin,28,5
WVB,2016-17,5,Stanford,27,7
WVB,2016-17,6,Washington,29,5
WVB,2016-17,7,BYU,29,4
WVB,2016-17,8,UCLA,27,7
WVB,2016-17,9,North Carolina,29,4
WVB,2016-17,10,Kansas,27,3
WVB,2016-17,11,Missouri,27,6
WVB,2016-17,12,Creighton,29,7
WVB,2016-17,13,Florida,27,4
WVB,2016-17,14,Michigan,24,11
WVB,2016-17,15,Michigan St.,25,9
WVB,2016-17,16,Western Ky.,30,3
WVB,2016-17,17,San Diego,24,6
WVB,2016-17,18,Florida St.,26,6
WVB,2016-17,19,Kansas St.,21,10
WVB,2016-17,20,Kentucky,23,8
WVB,2016-17,21,TCU,15,13
WVB,2016-17,22,Penn St.,24,10
WVB,2016-17,23,Arizona,20,15
WVB,2016-17,24,Oregon,21,10
WVB,2016-17,25,SMU,26,8
WVB,2016-17,26,Boise St.,26,7
WVB,2016-17,27,Hawaii,23,6
WVB,2016-17,28,Purdue,19,14
WVB,2016-17,29,Ohio St.,22,13
WVB,2016-17,30,UNLV,24,8
WVB,2016-17,31,Utah,20,12
WVB,2016-17,32,Texas A&M,21,9
WVB,2016-17,33,Dayton,30,2
WVB,2016-17,34,Coastal Caro.,28,5
WVB,2016-17,35,Wichita St.,24,8
WVB,2016-17,36,Pittsburgh,25,9
WVB,2016-17,37,Iowa St.,18,11
WVB,2016-17,38,Washington St.,22,12
WVB,2016-17,39,Baylor,22,12
WVB,2016-17,40,Cincinnati,22,10
WVB,2016-17,41,Cleveland St.,25,6
WVB,2016-17,42,Miami (OH),24,7
WVB,2016-17,43,Marquette,23,9
WVB,2016-17,44,Southern California,18,14
WVB,2016-17,45,UNI,24,10
WVB,2016-17,46,Missouri St.,26,9
WVB,2016-17,47,Temple,22,8
WVB,2016-17,48,Colorado St.,21,9
WVB,2016-17,49,Georgia Tech,24,8
WVB,2016-17,50,James Madison,21,11
WVB,2016-17,51,Northern Ill.,25,6
WVB,2016-17,52,Cal Poly,18,9
WVB,2016-17,53,Lipscomb,22,8
WVB,2016-17,54,Alabama,20,11
WVB,2016-17,55,Arkansas St.,25,8
WVB,2016-17,56,Illinois,17,14
WVB,2016-17,57,Hofstra,20,10
WVB,2016-17,58,FGCU,27,6
WVB,2016-17,59,Xavier,20,13
WVB,2016-17,60,A&M-Corpus Christi,24,8
WVB,2016-17,61,UCF,23,10
WVB,2016-17,62,Duke,21,9
WVB,2016-17,63,UTSA,20,8
WVB,2016-17,64,North Carolina St.,20,12
