Sport,Season,Team,W,L,Rank,Conf
WVB,2021-22,Louisville,32,1,1,ACC
WVB,2021-22,Wisconsin,31,3,2,Big Ten
WVB,2021-22,Pittsburgh,30,4,3,ACC
WVB,2021-22,Texas,27,2,4,Big 12
WVB,2021-22,Georgia Tech,26,6,5,ACC
WVB,2021-22,Nebraska,26,8,6,Big Ten
WVB,2021-22,Baylor,22,6,7,Big 12
WVB,2021-22,Kentucky,25,5,8,SEC
WVB,2021-22,Purdue,26,7,9,Big Ten
WVB,2021-22,Ohio St.,27,6,10,Big Ten
WVB,2021-22,Creighton,31,4,11,Big East
WVB,2021-22,Minnesota,22,9,12,Big Ten
WVB,2021-22,UCLA,25,6,13,Pac-12
WVB,2021-22,Miami (FL),25,5,14,ACC
WVB,2021-22,BYU,30,2,15,WCC
WVB,2021-22,Washington,26,5,16,Pac-12
WVB,2021-22,Marquette,26,6,17,Big East
WVB,2021-22,Florida,22,9,18,SEC
WVB,2021-22,Western Ky.,28,2,19,C-USA
WVB,2021-22,Florida St.,20,10,20,ACC
WVB,2021-22,Utah,22,9,21,Pac-12
WVB,2021-22,UCF,27,7,22,AAC
WVB,2021-22,Rice,20,7,23,C-USA
WVB,2021-22,Illinois,22,12,24,Big Ten
WVB,2021-22,Penn St.,21,11,25,Big Ten
WVB,2021-22,Mississippi St.,25,6,26,SEC
WVB,2021-22,Oregon,22,9,27,Pac-12
WVB,2021-22,Tennessee,20,10,28,SEC
WVB,2021-22,Ball St.,30,4,29,MAC
WVB,2021-22,Stanford,19,11,30,Pac-12
WVB,2021-22,Kansas,18,12,31,Big 12
WVB,2021-22,North Carolina,21,9,32,ACC
WVB,2021-22,FGCU,27,6,33,ASUN
WVB,2021-22,Notre Dame,13,15,34,ACC
WVB,2021-22,Michigan,18,12,35,Big Ten
WVB,2021-22,Washington St.,20,12,36,Pac-12
WVB,2021-22,Dayton,26,6,37,Atlantic 10
WVB,2021-22,UNLV,28,9,38,Mountain West
WVB,2021-22,Pepperdine,22,6,39,WCC
WVB,2021-22,San Diego,20,8,40,WCC
WVB,2021-22,South Carolina,14,15,41,SEC
WVB,2021-22,Syracuse,17,13,42,ACC
WVB,2021-22,Texas Tech,17,13,43,Big 12
WVB,2021-22,Arkansas,20,11,44,SEC
WVB,2021-22,UTEP,24,8,45,C-USA
WVB,2021-22,Valparaiso,26,10,46,MVC
WVB,2021-22,Southern California,15,15,47,Pac-12
WVB,2021-22,High Point,24,7,48,Big South
WVB,2021-22,Hawaii,22,8,49,Big West
WVB,2021-22,West Virginia,19,10,50,Big 12
WVB,2021-22,Texas St.,20,12,51,Sun Belt
WVB,2021-22,South Alabama,25,7,52,Sun Belt
WVB,2021-22,Cincinnati,19,9,53,AAC
WVB,2021-22,Kansas St.,15,13,54,Big 12
WVB,2021-22,James Madison,17,7,55,CAA
WVB,2021-22,Iowa St.,16,12,56,Big 12
WVB,2021-22,Ole Miss,21,9,57,SEC
WVB,2021-22,Houston,25,7,58,AAC
WVB,2021-22,Northern Ky.,20,8,59,Horizon
WVB,2021-22,DePaul,19,12,60,Big East
WVB,2021-22,Northern Colo.,24,7,61,Big Sky
WVB,2021-22,Duke,16,13,62,ACC
WVB,2021-22,Bowling Green,21,9,63,MAC
WVB,2021-22,Illinois St.,19,14,64,MVC
WVB,2021-22,Loyola Chicago,22,10,65,MVC
WVB,2021-22,Towson,26,5,66,CAA
WVB,2021-22,Texas A&M,14,14,67,SEC
WVB,2021-22,UConn,24,11,68,Big East
WVB,2021-22,Wright St.,23,8,69,Horizon
WVB,2021-22,SMU,18,12,70,AAC
WVB,2021-22,Wichita St.,19,10,71,AAC
WVB,2021-22,Brown,20,6,72,Ivy League
