Team,Conference,ConferenceAbbrev,Power5,Nickname,Name1,Name2,Name3,Name4,Name5,Name6,Name7
Boston College,Atlantic Coast,ACC,TRUE,Eagles,BC,Boston Col.,,,,,
Clemson,Atlantic Coast,ACC,TRUE,Tigers,CLEM,,,,,,
Duke,Atlantic Coast,ACC,TRUE,Blue Devils,DUKE,,,,,,
Florida St.,Atlantic Coast,ACC,TRUE,Seminoles,FSU,Florida St,Florida State,,,,
Georgia Tech,Atlantic Coast,ACC,TRUE,Yellow Jackets,GT,,,,,,
Louisville,Atlantic Coast,ACC,TRUE,Cardinals,LOU,,,,,,
Miami (FL),Atlantic Coast,ACC,TRUE,Hurricanes,MIA,Miami (Fla),Miami,Miami Fl,Miami (Florida),,
North Carolina,Atlantic Coast,ACC,TRUE,Tar Heels,UNC,N Carolina,,,,,
NC State,Atlantic Coast,ACC,TRUE,Wolfpack,NCST,North Carolina St.,North Carolina St,NC St.,NC St,North Carolina State,N Carolina St
Pittsburgh,Atlantic Coast,ACC,TRUE,Panthers,PITT,Pitt,,,,,
Syracuse,Atlantic Coast,ACC,TRUE,Orange,SYR,,,,,,
Virginia,Atlantic Coast,ACC,TRUE,Cavaliers,UVA,,,,,,
Virginia Tech,Atlantic Coast,ACC,TRUE,Hokies,VT,,,,,,
Wake Forest,Atlantic Coast,ACC,TRUE,Demon Deacons,WAKE,,,,,,
Central Florida,American Athletic,AAC,FALSE,Knights,UCF,C Florida,,,,,
Cincinnati,American Athletic,AAC,FALSE,Bearcats,CIN,,,,,,
Connecticut,American Athletic,AAC,FALSE,Huskies,CONN,UConn,,,,,
East Carolina,American Athletic,AAC,FALSE,Pirates,ECU,,,,,,
Houston,American Athletic,AAC,FALSE,Cougars,HOU,,,,,,
Memphis,American Athletic,AAC,FALSE,Tigers,MEM,,,,,,
Navy,American Athletic,AAC,FALSE,Midshipmen,NAVY,,,,,,
SMU,American Athletic,AAC,FALSE,Mustangs,SMU,Southern Methodist,,,,,
South Florida,American Athletic,AAC,FALSE,Bulls,USF,S Florida,,,,,
Temple,American Athletic,AAC,FALSE,Owls,TEM,,,,,,
Tulane,American Athletic,AAC,FALSE,Green Wave,TULN,,,,,,
Tulsa,American Athletic,AAC,FALSE,Golden Hurricane,TLSA,,,,,,
Baylor,Big Twelve,Big 12,TRUE,Bears,BAY,,,,,,
Iowa St.,Big Twelve,Big 12,TRUE,Cyclones,ISU,Iowa St,Iowa State,,,,
Kansas,Big Twelve,Big 12,TRUE,Jayhawks,KU,,,,,,
Kansas St.,Big Twelve,Big 12,TRUE,Wildcats,KSU,Kansas St,Kansas State,,,,
Oklahoma,Big Twelve,Big 12,TRUE,Sooners,OKLA,OU,,,,,
Oklahoma St.,Big Twelve,Big 12,TRUE,Cowboys,OKST,Oklahoma St,Oklahoma State,,,,
TCU,Big Twelve,Big 12,TRUE,Horned Frogs,TCU,Texas Christian,Texas-Christian,,,,
Texas,Big Twelve,Big 12,TRUE,Longhorns,TEX,,,,,,
Texas Tech,Big Twelve,Big 12,TRUE,Red Raiders,TTU,,,,,,
West Virginia,Big Twelve,Big 12,TRUE,Mountaineers,WVU,,,,,,
Illinois,Big Ten,B1G,TRUE,Fighting Illini,ILL,,,,,,
Indiana,Big Ten,B1G,TRUE,Hoosiers,IND,,,,,,
Iowa,Big Ten,B1G,TRUE,Hawkeyes,IOWA,,,,,,
Maryland,Big Ten,B1G,TRUE,Terrapins,UMD,,,,,,
Michigan,Big Ten,B1G,TRUE,Wolverines,MICH,,,,,,
Michigan St.,Big Ten,B1G,TRUE,Spartans,MSU,Michigan St,Michigan State,Mich. St.,,,
Minnesota,Big Ten,B1G,TRUE,Golden Gophers,MINN,,,,,,
Nebraska,Big Ten,B1G,TRUE,Cornhuskers,NEB,,,,,,
Northwestern,Big Ten,B1G,TRUE,Wildcats,NW,,,,,,
Ohio St.,Big Ten,B1G,TRUE,Buckeyes,OSU,Ohio St,Ohio State,,,,
Penn State,Big Ten,B1G,TRUE,Nittany Lions,PSU,Penn St.,Penn St,,,,
Purdue,Big Ten,B1G,TRUE,Boilermakers,PUR,,,,,,
Rutgers,Big Ten,B1G,TRUE,Scarlet Knights,RUTG,,,,,,
Wisconsin,Big Ten,B1G,TRUE,Badgers,WIS,,,,,,
Charlotte,Conference USA,C-USA,FALSE,49ers,CHAR,,,,,,
Florida Atlantic,Conference USA,C-USA,FALSE,Owls,FAU,,,,,,
Florida Intl,Conference USA,C-USA,FALSE,Golden Panthers,FIU,Florida International,Florida Int.,Florida Intl.,,,
Louisiana Tech,Conference USA,C-USA,FALSE,Bulldogs,LT,LA Tech,La Tech,,,,
Marshall,Conference USA,C-USA,FALSE,Thundering Herd,MRSH,,,,,,
Middle Tennessee,Conference USA,C-USA,FALSE,Blue Raiders,MTSU,Middle Tenn,Mid Tennessee,Middle Tennessee State,,,
North Texas,Conference USA,C-USA,FALSE,Mean Green,UNT,N Texas,,,,,
Old Dominion,Conference USA,C-USA,FALSE,Monarchs,ODU,,,,,,
Rice,Conference USA,C-USA,FALSE,Owls,RICE,,,,,,
