School,Year,Conf,Overall_W,Overall_L,Overall_T,Overall_Pct,Conf_W,Conf_L,Conf_T,Conf_Pct,SRS,SOS,AP_Pre,AP_High,AP_Post,Coach(es),Bowl,Notes,url_coach
Air Force,2021,MWC,10,3,,0.769,6.0,2.0,0.0,0.75,8.7,-1.84,,,,Troy Calhoun (10-3),First Responder Bowl-W,,https://www.sports-reference.com
Air Force,2020,MWC,3,3,0.0,0.5,2.0,2.0,0.0,0.5,0.85,-4.99,,,,Troy Calhoun (3-3),,,https://www.sports-reference.com
Air Force,2019,MWC,11,2,0.0,0.846,7.0,1.0,0.0,0.875,10.47,-2.22,,22.0,22.0,Troy Calhoun (11-2),Cheez-It Bowl-W,,https://www.sports-reference.com
Air Force,2018,MWC,5,7,0.0,0.417,3.0,5.0,0.0,0.375,-1.72,-3.8,,,,Troy Calhoun (5-7),,,https://www.sports-reference.com
Air Force,2017,MWC,5,7,0.0,0.417,4.0,4.0,0.0,0.5,-4.77,-1.02,,,,Troy Calhoun (5-7),,,https://www.sports-reference.com
Air Force,2016,MWC,10,3,0.0,0.769,5.0,3.0,0.0,0.625,4.09,-4.53,,,,Troy Calhoun (10-3),Arizona Bowl-W,,https://www.sports-reference.com
Air Force,2015,MWC,8,6,0.0,0.571,6.0,2.0,0.0,0.75,0.36,-3.14,,,,Troy Calhoun (8-6),Armed Forces Bowl-L,,https://www.sports-reference.com
Air Force,2014,MWC,10,3,0.0,0.769,5.0,3.0,0.0,0.625,2.2,-4.88,,,,Troy Calhoun (10-3),Famous Idaho Potato Bowl-W,,https://www.sports-reference.com
Air Force,2013,MWC,2,10,0.0,0.167,0.0,8.0,0.0,0.0,-14.88,-3.22,,,,Troy Calhoun (2-10),,,https://www.sports-reference.com
Air Force,2012,MWC,6,7,0.0,0.462,5.0,3.0,0.0,0.625,-7.35,-6.35,,,,Troy Calhoun (6-7),Armed Forces Bowl-L,,https://www.sports-reference.com
Air Force,2011,MWC,7,6,0.0,0.538,3.0,4.0,0.0,0.429,-0.38,-4.23,,,,Troy Calhoun (7-6),Military Bowl-L,,https://www.sports-reference.com
Air Force,2010,MWC,9,4,0.0,0.692,5.0,3.0,0.0,0.625,6.87,-1.05,,23.0,,Troy Calhoun (9-4),Independence Bowl-W,,https://www.sports-reference.com
Air Force,2009,MWC,8,5,0.0,0.615,5.0,3.0,0.0,0.625,6.57,-2.28,,,,Troy Calhoun (8-5),Armed Forces Bowl-W,,https://www.sports-reference.com
Air Force,2008,MWC,8,5,0.0,0.615,5.0,3.0,0.0,0.625,2.55,-2.53,,,,Troy Calhoun (8-5),Armed Forces Bowl-L,,https://www.sports-reference.com
Air Force,2007,MWC,9,4,0.0,0.692,6.0,2.0,0.0,0.75,5.36,-2.33,,,,Troy Calhoun (9-4),Armed Forces Bowl-L,,https://www.sports-reference.com
Air Force,2006,MWC,4,8,0.0,0.333,3.0,5.0,0.0,0.375,-2.94,0.81,,,,Fisher DeBerry (4-8),,,https://www.sports-reference.com
