season,team,conf,win_pct_men,win_pct_avg_men,w_men,w_mba,w_mbb,w_mfb,l_men,l_mba,l_mbb,l_mfb,win_pct_women,win_pct_avg_women,w_women,w_wbb,w_wsb,w_wvb,l_women,l_wbb,l_wsb,l_wvb,diff_win_pct,diff_win_pct_avg,rpi_avg_men,rpi_mba,rpi_mbb,fpi_mfb,rpi_avg_women,rpi_wbb,rpi_wsb,rpi_wvb,diff_rpi_avg,rank_win_pct_men,rank_win_pct_women,rank_win_pct_avg_men,rank_win_pct_avg_women,rank_diff_win_pct,rank_diff_win_pct_avg,rank_diff_rpi_avg,rank_diff_win_pct_abs,rank_diff_win_pct_avg_abs,rank_diff_rpi_avg_abs
2006-07,Akron,MAC,0.59,0.56,54.0,23.0,26.0,5,38.0,24.0,7.0,7,0.33,0.33,34.0,10.0,17.0,7.0,68.0,19.0,25.0,24.0,0.25,0.24,119.0,202.0,68.0,88,237.0,262.0,195.0,255.0,-118.0,522.0,1440.0,648.0,1430.0,32.0,32.0,1462.0,1396.0,1368.0,1459.0
2007-08,Akron,MAC,0.55,0.51,53.0,25.0,24.0,4,43.0,24.0,11.0,8,0.31,0.3,37.0,7.0,20.0,10.0,82.0,24.0,38.0,20.0,0.24,0.21,109.0,169.0,57.0,101,231.0,262.0,209.0,221.0,-122.0,753.0,1456.0,918.0,1459.0,40.0,64.0,1467.0,1376.0,1290.0,1465.0
2008-09,Akron,MAC,0.47,0.47,47.0,19.0,23.0,5,53.0,33.0,13.0,7,0.49,0.45,57.0,11.0,35.0,11.0,60.0,19.0,24.0,17.0,-0.02,0.02,139.0,226.0,103.0,89,196.0,202.0,148.0,237.0,-56.0,1168.0,1071.0,1096.0,1188.0,741.0,573.0,1220.0,143.0,95.0,1090.0
2009-10,Akron,MAC,0.47,0.44,48.0,21.0,24.0,3,54.0,34.0,11.0,9,0.44,0.46,52.0,18.0,20.0,14.0,66.0,14.0,34.0,18.0,0.03,-0.02,150.0,245.0,96.0,108,193.0,161.0,224.0,193.0,-43.0,1168.0,1243.0,1205.0,1156.0,503.0,707.0,1119.0,223.0,95.0,910.0
2010-11,Akron,MAC,0.4,0.34,40.0,16.0,23.0,1,61.0,37.0,13.0,11,0.48,0.48,53.0,14.0,24.0,15.0,57.0,16.0,24.0,17.0,-0.09,-0.14,160.0,257.0,106.0,117,189.0,179.0,185.0,202.0,-29.0,1371.0,1108.0,1432.0,1092.0,1035.0,1188.0,996.0,710.0,980.0,664.0
2011-12,Akron,MAC,0.4,0.35,40.0,17.0,22.0,1,61.0,38.0,12.0,11,0.37,0.34,42.0,14.0,24.0,4.0,72.0,18.0,29.0,25.0,0.03,0.0,155.0,276.0,68.0,120,202.0,200.0,175.0,231.0,-47.0,1371.0,1401.0,1417.0,1417.0,503.0,645.0,1156.0,223.0,1.0,979.0
2012-13,Akron,MAC,0.43,0.39,42.0,15.0,26.0,1,55.0,37.0,7.0,11,0.55,0.57,62.0,23.0,23.0,16.0,51.0,10.0,28.0,13.0,-0.12,-0.18,137.0,246.0,48.0,116,159.0,109.0,199.0,169.0,-22.0,1288.0,804.0,1357.0,691.0,1147.0,1303.0,921.0,905.0,1176.0,519.0
2013-14,Akron,MAC,0.52,0.51,54.0,28.0,21.0,5,49.0,29.0,13.0,7,0.57,0.55,58.0,23.0,27.0,8.0,44.0,9.0,16.0,19.0,-0.04,-0.04,125.0,172.0,95.0,108,155.0,76.0,130.0,259.0,-30.0,931.0,723.0,918.0,785.0,819.0,799.0,1008.0,317.0,267.0,688.0
2014-15,Akron,MAC,0.51,0.5,54.0,28.0,21.0,5,51.0,30.0,14.0,7,0.49,0.49,55.0,22.0,25.0,8.0,58.0,9.0,26.0,23.0,0.03,0.01,137.0,181.0,124.0,105,176.0,95.0,167.0,266.0,-39.0,970.0,1071.0,965.0,1047.0,503.0,613.0,1091.0,223.0,33.0,849.0
2019-20,Akron,MAC,0.43,0.28,23.0,1.0,22.0,0,30.0,11.0,7.0,12,0.45,0.44,37.0,15.0,6.0,16.0,46.0,15.0,19.0,12.0,-0.01,-0.16,167.0,298.0,73.0,129,190.0,181.0,226.0,163.0,-23.0,1288.0,1204.0,1471.0,1225.0,687.0,1252.0,937.0,46.0,1087.0,547.0
2020-21,Akron,MAC,0.33,0.33,23.0,9.0,13.0,1,46.0,33.0,8.0,5,0.21,0.24,20.0,6.0,8.0,6.0,76.0,14.0,46.0,16.0,0.12,0.09,173.0,285.0,108.0,125,244.0,224.0,273.0,234.0,-71.0,1456.0,1484.0,1445.0,1480.0,224.0,303.0,1313.0,905.0,667.0,1247.0
2021-22,Akron,MAC,0.41,0.38,36.0,12.0,22.0,2,52.0,32.0,10.0,10,0.41,0.42,39.0,16.0,13.0,10.0,55.0,12.0,23.0,20.0,-0.01,-0.05,168.0,267.0,109.0,128,190.0,112.0,198.0,259.0,-22.0,1352.0,1326.0,1377.0,1279.0,687.0,840.0,921.0,46.0,345.0,519.0
