school,urlSchool
Boston College,https://a.espncdn.com/i/teamlogos/ncaa/500/103.png
Clemson,https://a.espncdn.com/i/teamlogos/ncaa/500/228.png
Duke,https://a.espncdn.com/i/teamlogos/ncaa/500/150.png
Florida St.,https://a.espncdn.com/i/teamlogos/ncaa/500/52.png
Georgia Tech,https://a.espncdn.com/i/teamlogos/ncaa/500/59.png
Louisville,https://a.espncdn.com/i/teamlogos/ncaa/500/97.png
Miami (FL),https://a.espncdn.com/i/teamlogos/ncaa/500/2390.png
North Carolina,https://a.espncdn.com/i/teamlogos/ncaa/500/153.png
NC State,https://a.espncdn.com/i/teamlogos/ncaa/500/152.png
Pittsburgh,https://a.espncdn.com/i/teamlogos/ncaa/500/221.png
Syracuse,https://a.espncdn.com/i/teamlogos/ncaa/500/183.png
Virginia,https://a.espncdn.com/i/teamlogos/ncaa/500/258.png
Virginia Tech,https://a.espncdn.com/i/teamlogos/ncaa/500/259.png
Wake Forest,https://a.espncdn.com/i/teamlogos/ncaa/500/154.png
Central Florida,https://a.espncdn.com/i/teamlogos/ncaa/500/2116.png
Cincinnati,https://a.espncdn.com/i/teamlogos/ncaa/500/2132.png
Connecticut,https://a.espncdn.com/i/teamlogos/ncaa/500/41.png
East Carolina,https://a.espncdn.com/i/teamlogos/ncaa/500/151.png
Houston,https://a.espncdn.com/i/teamlogos/ncaa/500/248.png
Memphis,https://a.espncdn.com/i/teamlogos/ncaa/500/235.png
Navy,https://a.espncdn.com/i/teamlogos/ncaa/500/2426.png
SMU,https://a.espncdn.com/i/teamlogos/ncaa/500/2567.png
South Florida,https://a.espncdn.com/i/teamlogos/ncaa/500/58.png
Temple,https://a.espncdn.com/i/teamlogos/ncaa/500/218.png
Tulane,https://a.espncdn.com/i/teamlogos/ncaa/500/2655.png
Tulsa,https://a.espncdn.com/i/teamlogos/ncaa/500/202.png
Baylor,https://a.espncdn.com/i/teamlogos/ncaa/500/239.png
Iowa St.,https://a.espncdn.com/i/teamlogos/ncaa/500/66.png
Kansas,https://a.espncdn.com/i/teamlogos/ncaa/500/2305.png
Kansas St.,https://a.espncdn.com/i/teamlogos/ncaa/500/2306.png
Oklahoma,https://a.espncdn.com/i/teamlogos/ncaa/500/201.png
Oklahoma St.,https://a.espncdn.com/i/teamlogos/ncaa/500/197.png
TCU,https://a.espncdn.com/i/teamlogos/ncaa/500/2628.png
Texas,https://a.espncdn.com/i/teamlogos/ncaa/500/251.png
Texas Tech,https://a.espncdn.com/i/teamlogos/ncaa/500/2641.png
West Virginia,https://a.espncdn.com/i/teamlogos/ncaa/500/277.png
Illinois,https://a.espncdn.com/i/teamlogos/ncaa/500/356.png
