SCHOOL,NO.,NAME,POS.,HT.,WT.,YEAR,HOMETOWN/PREVIOUS_SCHOOL,HIGH_SCHOOL,LAST_SCHOOL
Nebraska,0,Tommi Hill,CB,6-0,205,So.,"Orlando, Fla. / Edgewater HS / Arizona State",,
Nebraska,0,Jaquez Yant,RB,6-2,245,So.,"Tallahassee, Fla. / Amos P. Godby",,
Nebraska,1,Tyreke Johnson,CB,6-1,190,Jr.,"Jacksonville, Fla. / Trinity Christian Academy / Ohio State",,
Nebraska,2,Isaiah Garcia-Castaneda,WR,6-0,185,Jr.,"Twentynine Palms, Calif. / Twentynine Palms HS / Saddleback (Ariz.) College / New Mexico State",,
Nebraska,2,Caleb Tannor,OLB,6-3,225,Sr.,"Stone Mountain, Ga. / Miller Grove",,
Nebraska,3,Trey Palmer,WR,6-1,190,Jr.,"Kentwood, La. / Kentwood HS / LSU",,
Nebraska,4,Alante Brown,WR,5-10,185,So.,"Chicago, Ill. / Simeon HS / St. Thomas More (Conn.) Prep",,
Nebraska,4,Myles Farmer,S,6-1,200,So.,"Atlanta, Ga. / Westlake",,
Nebraska,5,Omar Manning,WR,6-4,225,Sr.,"Lancaster, Texas / Lancaster HS/TCU/Kilgore College",,
Nebraska,6,Quinton Newsome,CB,6-1,185,Jr.,"Suwanee, Ga. / North Gwinnett",,
Nebraska,6,Chubba Purdy,QB,6-2,210,R-Fr.,"Queen Creek, Ariz. / Perry HS / Florida State",,
Nebraska,7,Tamon Lynum,CB,6-2,180,R-Fr.,"Orlando, Fla. / Evans",,
Nebraska,7,Latrell Neville,WR,6-4,195,R-Fr.,"Fresno, Texas / Hightower",,
Nebraska,8,Jaeden Gould,CB,6-2,190,Fr.,"Somerset, N.J. / Bergen Catholic",,
Nebraska,8,Logan Smothers,QB,6-2,195,So.,"Muscle Shoals, Ala. / Muscle Shoals",,
Nebraska,9,Spencer Arceneaux,QB,6-1,180,R-Fr.,"Mobile, Ala. / McGill Toolen",,
Nebraska,9,DeShon Singleton,S,6-3,205,So.,"Amite, La. / St. Helena / Hutchinson (Kan.) CC",,
Nebraska,10,Jimari Butler,OLB,6-5,245,R-Fr.,"Mobile, Ala. / Murphy",,
Nebraska,10,Heinrich Haarberg,QB,6-5,200,R-Fr.,"Kearney, Neb. / Catholic",,
Nebraska,11,Braxton Clark,CB,6-4,200,Jr.,"Orlando, Fla. / Dr. Phillips",,
Nebraska,11,Casey Thompson,QB,6-1,200,Jr.,"Oklahoma City, Okla. / Newcastle HS / Texas",,
