school,year,conf_fb,g_fb,w_fb,l_fb,t_fb,win_pct_fb,g_conf_fb,w_conf_fb,l_conf_fb,t_conf_fb,win_pct_conf_fb,coach_fb
Air Force,2021,MWC,13,10,3,0,0.769,8,6,2,0,0.75,Troy Calhoun (10-3)
Air Force,2020,MWC,6,3,3,0,0.5,4,2,2,0,0.5,Troy Calhoun (3-3)
Air Force,2019,MWC,13,11,2,0,0.846,8,7,1,0,0.875,Troy Calhoun (11-2)
Air Force,2018,MWC,12,5,7,0,0.417,8,3,5,0,0.375,Troy Calhoun (5-7)
Air Force,2017,MWC,12,5,7,0,0.417,8,4,4,0,0.5,Troy Calhoun (5-7)
Air Force,2016,MWC,13,10,3,0,0.769,8,5,3,0,0.625,Troy Calhoun (10-3)
Air Force,2015,MWC,14,8,6,0,0.571,8,6,2,0,0.75,Troy Calhoun (8-6)
Air Force,2014,MWC,13,10,3,0,0.769,8,5,3,0,0.625,Troy Calhoun (10-3)
Air Force,2013,MWC,12,2,10,0,0.167,8,0,8,0,0,Troy Calhoun (2-10)
Air Force,2012,MWC,13,6,7,0,0.462,8,5,3,0,0.625,Troy Calhoun (6-7)
Air Force,2011,MWC,13,7,6,0,0.538,7,3,4,0,0.429,Troy Calhoun (7-6)
Air Force,2010,MWC,13,9,4,0,0.692,8,5,3,0,0.625,Troy Calhoun (9-4)
Air Force,2009,MWC,13,8,5,0,0.615,8,5,3,0,0.625,Troy Calhoun (8-5)
Air Force,2008,MWC,13,8,5,0,0.615,8,5,3,0,0.625,Troy Calhoun (8-5)
Air Force,2007,MWC,13,9,4,0,0.692,8,6,2,0,0.75,Troy Calhoun (9-4)
Air Force,2006,MWC,12,4,8,0,0.333,8,3,5,0,0.375,Fisher DeBerry (4-8)
Air Force,2005,MWC,11,4,7,0,0.364,8,3,5,0,0.375,Fisher DeBerry (4-7)
Air Force,2004,MWC,11,5,6,0,0.455,7,3,4,0,0.429,Fisher DeBerry (5-6)
Air Force,2003,MWC,12,7,5,0,0.583,7,3,4,0,0.429,Fisher DeBerry (7-5)
Air Force,2002,MWC,13,8,5,0,0.615,7,4,3,0,0.571,Fisher DeBerry (8-5)
Air Force,2001,MWC,12,6,6,0,0.5,7,3,4,0,0.429,Fisher DeBerry (6-6)
Air Force,2000,MWC,12,9,3,0,0.75,7,5,2,0,0.714,Fisher DeBerry (9-3)
Air Force,1999,MWC,11,6,5,0,0.545,7,2,5,0,0.286,Fisher DeBerry (6-5)
Air Force,1998,WAC,13,12,1,0,0.923,8,7,1,0,0.875,Fisher DeBerry (12-1)
Air Force,1997,WAC,13,10,3,0,0.769,8,6,2,0,0.75,Fisher DeBerry (10-3)
Air Force,1996,WAC,11,6,5,0,0.545,8,5,3,0,0.625,Fisher DeBerry (6-5)
Air Force,1995,WAC,13,8,5,0,0.615,8,6,2,0,0.75,Fisher DeBerry (8-5)
Air Force,1994,WAC,12,8,4,0,0.667,8,6,2,0,0.75,Fisher DeBerry (8-4)
Air Force,1993,WAC,12,4,8,0,0.333,8,1,7,0,0.125,Fisher DeBerry (4-8)
Air Force,1992,WAC,12,7,5,0,0.583,8,4,4,0,0.5,Fisher DeBerry (7-5)
Air Force,1991,WAC,13,10,3,0,0.769,8,6,2,0,0.75,Fisher DeBerry (10-3)
Air Force,1990,WAC,12,7,5,0,0.583,7,3,4,0,0.429,Fisher DeBerry (7-5)
Air Force,1989,WAC,13,8,4,1,0.654,7,5,1,1,0.786,Fisher DeBerry (8-4-1)
Air Force,1988,WAC,12,5,7,0,0.417,8,3,5,0,0.375,Fisher DeBerry (5-7)
Air Force,1987,WAC,13,9,4,0,0.692,8,6,2,0,0.75,Fisher DeBerry (9-4)
Air Force,1986,WAC,11,6,5,0,0.545,7,5,2,0,0.714,Fisher DeBerry (6-5)
Air Force,1985,WAC,13,12,1,0,0.923,8,7,1,0,0.875,Fisher DeBerry (12-1)
Air Force,1984,WAC,12,8,4,0,0.667,7,4,3,0,0.571,Fisher DeBerry (8-4)
Air Force,1983,WAC,12,10,2,0,0.833,7,5,2,0,0.714,Ken Hatfield (10-2)
Air Force,1982,WAC,13,8,5,0,0.615,7,4,3,0,0.571,Ken Hatfield (8-5)
Air Force,1981,WAC,11,4,7,0,0.364,5,2,3,0,0.4,Ken Hatfield (4-7)
Air Force,1980,WAC,12,2,9,1,0.208,4,1,3,0,0.25,Ken Hatfield (2-9-1)
Air Force,1979,Ind,11,2,9,0,0.182,0,0,0,0,0,Ken Hatfield (2-9)
Air Force,1978,Ind,11,3,8,0,0.273,0,0,0,0,0,Bill Parcells (3-8)
Air Force,1977,Ind,11,2,8,1,0.227,0,0,0,0,0,Ben Martin (2-8-1)
Air Force,1976,Ind,11,4,7,0,0.364,0,0,0,0,0,Ben Martin (4-7)
Air Force,1975,Ind,11,2,8,1,0.227,0,0,0,0,0,Ben Martin (2-8-1)
Air Force,1974,Ind,11,2,9,0,0.182,0,0,0,0,0,Ben Martin (2-9)
Air Force,1973,Ind,10,6,4,0,0.6,0,0,0,0,0,Ben Martin (6-4)
Air Force,1972,Ind,10,6,4,0,0.6,0,0,0,0,0,Ben Martin (6-4)
Air Force,1971,Ind,10,6,4,0,0.6,0,0,0,0,0,Ben Martin (6-4)
Air Force,1970,Ind,12,9,3,0,0.75,0,0,0,0,0,Ben Martin (9-3)
Air Force,1969,Ind,10,6,4,0,0.6,0,0,0,0,0,Ben Martin (6-4)
Air Force,1968,Ind,10,7,3,0,0.7,0,0,0,0,0,Ben Martin (7-3)
Air Force,1967,Ind,10,2,6,2,0.3,0,0,0,0,0,Ben Martin (2-6-2)
Air Force,1966,Ind,10,4,6,0,0.4,0,0,0,0,0,Ben Martin (4-6)
Air Force,1965,Ind,10,3,6,1,0.35,0,0,0,0,0,Ben Martin (3-6-1)
Air Force,1964,Ind,10,4,5,1,0.45,0,0,0,0,0,Ben Martin (4-5-1)
Air Force,1963,Ind,11,7,4,0,0.636,0,0,0,0,0,Ben Martin (7-4)
Air Force,1962,Ind,10,5,5,0,0.5,0,0,0,0,0,Ben Martin (5-5)
Air Force,1961,Ind,10,3,7,0,0.3,0,0,0,0,0,Ben Martin (3-7)
Air Force,1960,Ind,10,4,6,0,0.4,0,0,0,0,0,Ben Martin (4-6)
Air Force,1959,Ind,10,5,4,1,0.55,0,0,0,0,0,Ben Martin (5-4-1)
Air Force,1958,Ind,11,9,0,2,0.909,0,0,0,0,0,Ben Martin (9-0-2)
Air Force,1957,Ind,10,3,6,1,0.35,0,0,0,0,0,Buck Shaw (3-6-1)
Akron,2021,MAC,12,2,10,0,0.167,8,1,7,0,0.125,"Tom Arth (2-7), Oscar Rodriguez (0-3)"
Akron,2020,MAC,6,1,5,0,0.167,6,1,5,0,0.167,Tom Arth (1-5)
Akron,2019,MAC,12,0,12,0,0,8,0,8,0,0,Tom Arth (0-12)
Akron,2018,MAC,12,4,8,0,0.333,8,2,6,0,0.25,Terry Bowden (4-8)
Akron,2017,MAC,14,7,7,0,0.5,8,6,2,0,0.75,Terry Bowden (7-7)
Akron,2016,MAC,12,5,7,0,0.417,8,3,5,0,0.375,Terry Bowden (5-7)
Akron,2015,MAC,13,8,5,0,0.615,8,5,3,0,0.625,Terry Bowden (8-5)
Akron,2014,MAC,12,5,7,0,0.417,8,3,5,0,0.375,Terry Bowden (5-7)
Akron,2013,MAC,12,5,7,0,0.417,8,4,4,0,0.5,Terry Bowden (5-7)
Akron,2012,MAC,12,1,11,0,0.083,8,0,8,0,0,Terry Bowden (1-11)
Akron,2011,MAC,12,1,11,0,0.083,8,0,8,0,0,Rob Ianello (1-11)
Akron,2010,MAC,12,1,11,0,0.083,8,1,7,0,0.125,Rob Ianello (1-11)
Akron,2009,MAC,12,3,9,0,0.25,8,2,6,0,0.25,J.D. Brookhart (3-9)
Akron,2008,MAC,12,5,7,0,0.417,8,3,5,0,0.375,J.D. Brookhart (5-7)
Akron,2007,MAC,12,4,8,0,0.333,8,3,5,0,0.375,J.D. Brookhart (4-8)
Akron,2006,MAC,12,5,7,0,0.417,8,3,5,0,0.375,J.D. Brookhart (5-7)
Akron,2005,MAC,13,7,6,0,0.538,8,5,3,0,0.625,J.D. Brookhart (7-6)
Akron,2004,MAC,11,6,5,0,0.545,8,6,2,0,0.75,J.D. Brookhart (6-5)
Akron,2003,MAC,12,7,5,0,0.583,8,5,3,0,0.625,Lee Owens (7-5)
Akron,2002,MAC,12,4,8,0,0.333,8,3,5,0,0.375,Lee Owens (4-8)
Akron,2001,MAC,11,4,7,0,0.364,8,4,4,0,0.5,Lee Owens (4-7)
Akron,2000,MAC,11,6,5,0,0.545,8,5,3,0,0.625,Lee Owens (6-5)
Akron,1999,MAC,11,7,4,0,0.636,8,5,3,0,0.625,Lee Owens (7-4)
Akron,1998,MAC,11,4,7,0,0.364,9,3,6,0,0.333,Lee Owens (4-7)
Akron,1997,MAC,11,2,9,0,0.182,9,2,7,0,0.222,Lee Owens (2-9)
Akron,1996,MAC,11,4,7,0,0.364,8,3,5,0,0.375,Lee Owens (4-7)
Akron,1995,MAC,11,2,9,0,0.182,8,2,6,0,0.25,Lee Owens (2-9)
Akron,1994,MAC,11,1,10,0,0.091,9,1,8,0,0.111,Gerry Faust (1-10)
Akron,1993,MAC,11,5,6,0,0.455,8,4,4,0,0.5,Gerry Faust (5-6)
Akron,1992,MAC,11,7,3,1,0.682,8,5,3,0,0.625,Gerry Faust (7-3-1)
Akron,1991,Ind,11,5,6,0,0.455,0,0,0,0,0,Gerry Faust (5-6)
Akron,1990,Ind,11,3,7,1,0.318,0,0,0,0,0,Gerry Faust (3-7-1)
Akron,1989,Ind,11,6,4,1,0.591,0,0,0,0,0,Gerry Faust (6-4-1)
Akron,1988,Ind,11,5,6,0,0.455,0,0,0,0,0,Gerry Faust (5-6)
Akron,1987,Ind,11,4,7,0,0.364,0,0,0,0,0,Gerry Faust (4-7)
Akron,1975,Ind,11,7,4,0,0.636,0,0,0,0,0,Jim Dennison (7-4)
Alabama,2021,SEC,15,13,2,0,0.867,9,8,1,0,0.889,Nick Saban (13-2)
Alabama,2020,SEC,13,13,0,0,1,11,11,0,0,1,Nick Saban (13-0)
Alabama,2019,SEC,13,11,2,0,0.846,8,6,2,0,0.75,Nick Saban (11-2)
Alabama,2018,SEC,15,14,1,0,0.933,8,8,0,0,1,Nick Saban (14-1)
Alabama,2017,SEC,14,13,1,0,0.929,8,7,1,0,0.875,Nick Saban (13-1)
Alabama,2016,SEC,15,14,1,0,0.933,8,8,0,0,1,Nick Saban (14-1)
Alabama,2015,SEC,15,14,1,0,0.933,8,7,1,0,0.875,Nick Saban (14-1)
Alabama,2014,SEC,14,12,2,0,0.857,8,7,1,0,0.875,Nick Saban (12-2)
Alabama,2013,SEC,13,11,2,0,0.846,8,7,1,0,0.875,Nick Saban (11-2)
Alabama,2012,SEC,14,13,1,0,0.929,8,7,1,0,0.875,Nick Saban (13-1)
Alabama,2011,SEC,13,12,1,0,0.923,8,7,1,0,0.875,Nick Saban (12-1)
Alabama,2010,SEC,13,10,3,0,0.769,8,5,3,0,0.625,Nick Saban (10-3)
Alabama,2009,SEC,14,14,0,0,1,8,8,0,0,1,Nick Saban (14-0)
Alabama,2008,SEC,14,12,2,0,0.857,8,8,0,0,1,Nick Saban (12-2)
Alabama,2007,SEC,13,7,6,0,0.538,8,4,4,0,0.5,Nick Saban (7-6)
Alabama,2006,SEC,13,6,7,0,0.462,8,2,6,0,0.25,"Mike Shula (6-6), Joe Kines (0-1)"
Alabama,2005,SEC,12,10,2,0,0.833,8,6,2,0,0.75,Mike Shula (10-2)
Alabama,2004,SEC,12,6,6,0,0.5,8,3,5,0,0.375,Mike Shula (6-6)
Alabama,2003,SEC,13,4,9,0,0.308,8,2,6,0,0.25,Mike Shula (4-9)
Alabama,2002,SEC,13,10,3,0,0.769,8,6,2,0,0.75,Dennis Franchione (10-3)
Alabama,2001,SEC,12,7,5,0,0.583,8,4,4,0,0.5,Dennis Franchione (7-5)
Alabama,2000,SEC,11,3,8,0,0.273,8,3,5,0,0.375,Mike DuBose (3-8)
Alabama,1999,SEC,13,10,3,0,0.769,8,7,1,0,0.875,Mike DuBose (10-3)
Alabama,1998,SEC,12,7,5,0,0.583,8,4,4,0,0.5,Mike DuBose (7-5)
Alabama,1997,SEC,11,4,7,0,0.364,8,2,6,0,0.25,Mike DuBose (4-7)
Alabama,1996,SEC,13,10,3,0,0.769,8,6,2,0,0.75,Gene Stallings (10-3)
Alabama,1995,SEC,11,8,3,0,0.727,8,5,3,0,0.625,Gene Stallings (8-3)
Alabama,1994,SEC,13,12,1,0,0.923,8,8,0,0,1,Gene Stallings (12-1)
Alabama,1993,SEC,13,9,3,1,0.731,8,5,2,1,0.688,Gene Stallings (9-3-1)
Alabama,1992,SEC,13,13,0,0,1,8,8,0,0,1,Gene Stallings (13-0)
Alabama,1991,SEC,12,11,1,0,0.917,7,6,1,0,0.857,Gene Stallings (11-1)
Alabama,1990,SEC,12,7,5,0,0.583,7,5,2,0,0.714,Gene Stallings (7-5)
Alabama,1989,SEC,12,10,2,0,0.833,7,6,1,0,0.857,Bill Curry (10-2)
Alabama,1988,SEC,12,9,3,0,0.75,7,4,3,0,0.571,Bill Curry (9-3)
Alabama,1987,SEC,12,7,5,0,0.583,6,4,2,0,0.667,Bill Curry (7-5)
Alabama,1986,SEC,13,10,3,0,0.769,6,4,2,0,0.667,Ray Perkins (10-3)
Alabama,1985,SEC,12,9,2,1,0.792,6,4,1,1,0.75,Ray Perkins (9-2-1)
Alabama,1984,SEC,11,5,6,0,0.455,6,2,4,0,0.333,Ray Perkins (5-6)
Alabama,1983,SEC,12,8,4,0,0.667,6,4,2,0,0.667,Ray Perkins (8-4)
Alabama,1982,SEC,12,8,4,0,0.667,6,3,3,0,0.5,Bear Bryant (8-4)
Alabama,1981,SEC,12,9,2,1,0.792,6,6,0,0,1,Bear Bryant (9-2-1)
Alabama,1980,SEC,12,10,2,0,0.833,6,5,1,0,0.833,Bear Bryant (10-2)
Alabama,1979,SEC,12,12,0,0,1,6,6,0,0,1,Bear Bryant (12-0)
Alabama,1978,SEC,12,11,1,0,0.917,6,6,0,0,1,Bear Bryant (11-1)
Alabama,1977,SEC,12,11,1,0,0.917,7,7,0,0,1,Bear Bryant (11-1)
Alabama,1976,SEC,12,9,3,0,0.75,7,5,2,0,0.714,Bear Bryant (9-3)
Alabama,1975,SEC,12,11,1,0,0.917,6,6,0,0,1,Bear Bryant (11-1)
Alabama,1974,SEC,12,11,1,0,0.917,6,6,0,0,1,Bear Bryant (11-1)
Alabama,1973,SEC,12,11,1,0,0.917,8,8,0,0,1,Bear Bryant (11-1)
Alabama,1972,SEC,12,10,2,0,0.833,8,7,1,0,0.875,Bear Bryant (10-2)
Alabama,1971,SEC,12,11,1,0,0.917,7,7,0,0,1,Bear Bryant (11-1)
Alabama,1970,SEC,12,6,5,1,0.542,7,3,4,0,0.429,Bear Bryant (6-5-1)
Alabama,1969,SEC,11,6,5,0,0.545,6,2,4,0,0.333,Bear Bryant (6-5)
Alabama,1968,SEC,11,8,3,0,0.727,6,4,2,0,0.667,Bear Bryant (8-3)
Alabama,1967,SEC,11,8,2,1,0.773,6,5,1,0,0.833,Bear Bryant (8-2-1)
Alabama,1966,SEC,11,11,0,0,1,6,6,0,0,1,Bear Bryant (11-0)
Alabama,1965,SEC,11,9,1,1,0.864,8,6,1,1,0.813,Bear Bryant (9-1-1)
Alabama,1964,SEC,11,10,1,0,0.909,8,8,0,0,1,Bear Bryant (10-1)
Alabama,1963,SEC,11,9,2,0,0.818,9,7,2,0,0.778,Bear Bryant (9-2)
Alabama,1962,SEC,11,10,1,0,0.909,7,6,1,0,0.857,Bear Bryant (10-1)
Alabama,1961,SEC,11,11,0,0,1,7,7,0,0,1,Bear Bryant (11-0)
Alabama,1960,SEC,11,8,1,2,0.818,7,5,1,1,0.786,Bear Bryant (8-1-2)
Alabama,1959,SEC,11,7,2,2,0.727,7,4,1,2,0.714,Bear Bryant (7-2-2)
Alabama,1958,SEC,10,5,4,1,0.55,8,3,4,1,0.438,Bear Bryant (5-4-1)
Alabama,1957,SEC,10,2,7,1,0.25,8,1,6,1,0.188,Jennings Whitworth (2-7-1)
Alabama,1956,SEC,10,2,7,1,0.25,7,2,5,0,0.286,Jennings Whitworth (2-7-1)
Alabama,1955,SEC,10,0,10,0,0,7,0,7,0,0,Jennings Whitworth (0-10)
Alabama,1954,SEC,11,4,5,2,0.455,8,3,3,2,0.5,Red Drew (4-5-2)
Alabama,1953,SEC,12,6,3,3,0.625,7,4,0,3,0.786,Red Drew (6-3-3)
Alabama,1952,SEC,12,10,2,0,0.833,6,4,2,0,0.667,Red Drew (10-2)
Alabama,1951,SEC,11,5,6,0,0.455,8,3,5,0,0.375,Red Drew (5-6)
Alabama,1950,SEC,11,9,2,0,0.818,8,6,2,0,0.75,Red Drew (9-2)
Alabama,1949,SEC,10,6,3,1,0.65,8,4,3,1,0.563,Red Drew (6-3-1)
Alabama,1948,SEC,11,6,4,1,0.591,9,4,4,1,0.5,Red Drew (6-4-1)
Alabama,1947,SEC,11,8,3,0,0.727,7,5,2,0,0.714,Red Drew (8-3)
Alabama,1946,SEC,11,7,4,0,0.636,7,4,3,0,0.571,Frank Thomas (7-4)
Alabama,1945,SEC,10,10,0,0,1,6,6,0,0,1,Frank Thomas (10-0)
Appalachian State,2021,Sun Belt,14,10,4,0,0.714,9,7,2,0,0.778,Shawn Clark (10-4)
Appalachian State,2020,Sun Belt,12,9,3,0,0.75,8,6,2,0,0.75,Shawn Clark (9-3)
Appalachian State,2019,Sun Belt,14,13,1,0,0.929,8,7,1,0,0.875,"Eli Drinkwitz (12-1), Shawn Clark (1-0)"
Appalachian State,2018,Sun Belt,13,11,2,0,0.846,8,7,1,0,0.875,"Scott Satterfield (10-2), Mark Ivey (1-0)"
Appalachian State,2017,Sun Belt,13,9,4,0,0.692,8,7,1,0,0.875,Scott Satterfield (9-4)
Appalachian State,2016,Sun Belt,13,10,3,0,0.769,8,7,1,0,0.875,Scott Satterfield (10-3)
Appalachian State,2015,Sun Belt,13,11,2,0,0.846,8,7,1,0,0.875,Scott Satterfield (11-2)
Appalachian State,2014,Sun Belt,12,7,5,0,0.583,8,6,2,0,0.75,Scott Satterfield (7-5)
Appalachian State,1981,Southern,11,3,7,1,0.318,7,1,5,1,0.214,Mike Working (3-7-1)
Appalachian State,1980,Southern,11,6,4,1,0.591,7,4,2,1,0.643,Mike Working (6-4-1)
Appalachian State,1979,Southern,11,3,8,0,0.273,7,3,4,0,0.429,Jim Brakefield (3-8)
Appalachian State,1978,Southern,11,7,4,0,0.636,6,4,2,0,0.667,Jim Brakefield (7-4)
Appalachian State,1977,Southern,11,2,9,0,0.182,5,1,4,0,0.2,Jim Brakefield (2-9)
Appalachian State,1976,Southern,11,6,4,1,0.591,5,2,2,1,0.5,Jim Brakefield (6-4-1)
Appalachian State,1975,Southern,11,8,3,0,0.727,4,2,2,0,0.5,Jim Brakefield (8-3)
Appalachian State,1974,Southern,11,6,5,0,0.545,4,3,1,0,0.75,Jim Brakefield (6-5)
Appalachian State,1973,Southern,11,3,7,1,0.318,4,2,2,0,0.5,Jim Brakefield (3-7-1)
Appalachian State,1972,Southern,11,5,5,1,0.5,4,0,3,1,0.125,Jim Brakefield (5-5-1)
Arizona,2021,Pac-12,12,1,11,0,0.083,9,1,8,0,0.111,Jedd Fisch (1-11)
Arizona,2020,Pac-12,5,0,5,0,0,5,0,5,0,0,Kevin Sumlin (0-5)
Arizona,2019,Pac-12,12,4,8,0,0.333,9,2,7,0,0.222,Kevin Sumlin (4-8)
Arizona,2018,Pac-12,12,5,7,0,0.417,9,4,5,0,0.444,Kevin Sumlin (5-7)
Arizona,2017,Pac-12,13,7,6,0,0.538,9,5,4,0,0.556,Rich Rodriguez (7-6)
Arizona,2016,Pac-12,12,3,9,0,0.25,9,1,8,0,0.111,Rich Rodriguez (3-9)
Arizona,2015,Pac-12,13,7,6,0,0.538,9,3,6,0,0.333,Rich Rodriguez (7-6)
Arizona,2014,Pac-12,14,10,4,0,0.714,9,7,2,0,0.778,Rich Rodriguez (10-4)
Arizona,2013,Pac-12,13,8,5,0,0.615,9,4,5,0,0.444,Rich Rodriguez (8-5)
Arizona,2012,Pac-12,13,8,5,0,0.615,9,4,5,0,0.444,Rich Rodriguez (8-5)
Arizona,2011,Pac-12,12,4,8,0,0.333,9,2,7,0,0.222,"Mike Stoops (1-5), Tim Kish (3-3)"
Arizona,2010,Pac-10,13,7,6,0,0.538,9,4,5,0,0.444,Mike Stoops (7-6)
Arizona,2009,Pac-10,13,8,5,0,0.615,9,6,3,0,0.667,Mike Stoops (8-5)
Arizona,2008,Pac-10,13,8,5,0,0.615,9,5,4,0,0.556,Mike Stoops (8-5)
Arizona,2007,Pac-10,12,5,7,0,0.417,9,4,5,0,0.444,Mike Stoops (5-7)
Arizona,2006,Pac-10,12,6,6,0,0.5,9,4,5,0,0.444,Mike Stoops (6-6)
Arizona,2005,Pac-10,11,3,8,0,0.273,8,2,6,0,0.25,Mike Stoops (3-8)
Arizona,2004,Pac-10,11,3,8,0,0.273,8,2,6,0,0.25,Mike Stoops (3-8)
Arizona,2003,Pac-10,12,2,10,0,0.167,8,1,7,0,0.125,"John Mackovic (1-4), Mike Hankwitz (1-6)"
Arizona,2002,Pac-10,12,4,8,0,0.333,8,1,7,0,0.125,John Mackovic (4-8)
Arizona,2001,Pac-10,11,5,6,0,0.455,8,2,6,0,0.25,John Mackovic (5-6)
Arizona,2000,Pac-10,11,5,6,0,0.455,8,3,5,0,0.375,Dick Tomey (5-6)
Arizona,1999,Pac-10,12,6,6,0,0.5,8,3,5,0,0.375,Dick Tomey (6-6)
Arizona,1998,Pac-10,13,12,1,0,0.923,8,7,1,0,0.875,Dick Tomey (12-1)
Arizona,1997,Pac-10,12,7,5,0,0.583,8,4,4,0,0.5,Dick Tomey (7-5)
Arizona,1996,Pac-10,11,5,6,0,0.455,8,3,5,0,0.375,Dick Tomey (5-6)
Arizona,1995,Pac-10,11,6,5,0,0.545,8,4,4,0,0.5,Dick Tomey (6-5)
Arizona,1994,Pac-10,12,8,4,0,0.667,8,6,2,0,0.75,Dick Tomey (8-4)
Arizona,1993,Pac-10,12,10,2,0,0.833,8,6,2,0,0.75,Dick Tomey (10-2)
Arizona,1992,Pac-10,12,6,5,1,0.542,8,4,3,1,0.563,Dick Tomey (6-5-1)
Arizona,1991,Pac-10,11,4,7,0,0.364,8,3,5,0,0.375,Dick Tomey (4-7)
Arizona,1990,Pac-10,12,7,5,0,0.583,9,5,4,0,0.556,Dick Tomey (7-5)
Arizona,1989,Pac-10,12,8,4,0,0.667,8,5,3,0,0.625,Dick Tomey (8-4)
Arizona,1988,Pac-10,11,7,4,0,0.636,8,5,3,0,0.625,Dick Tomey (7-4)
Arizona,1987,Pac-10,11,4,4,3,0.5,8,2,3,3,0.438,Dick Tomey (4-4-3)
Arizona,1986,Pac-10,12,9,3,0,0.75,8,5,3,0,0.625,Larry Smith (9-3)
Arizona,1985,Pac-10,12,8,3,1,0.708,7,5,2,0,0.714,Larry Smith (8-3-1)
Arizona,1984,Pac-10,11,7,4,0,0.636,7,5,2,0,0.714,Larry Smith (7-4)
Arizona,1983,Pac-10,11,7,3,1,0.682,8,4,3,1,0.563,Larry Smith (7-3-1)
Arizona,1982,Pac-10,11,6,4,1,0.591,8,4,3,1,0.563,Larry Smith (6-4-1)
Arizona,1981,Pac-10,11,6,5,0,0.545,8,4,4,0,0.5,Larry Smith (6-5)
Arizona,1980,Pac-10,11,5,6,0,0.455,7,3,4,0,0.429,Larry Smith (5-6)
Arizona,1979,Pac-10,12,6,5,1,0.542,7,4,3,0,0.571,Tony Mason (6-5-1)
Arizona,1978,Pac-10,11,5,6,0,0.455,7,3,4,0,0.429,Tony Mason (5-6)
Arizona,1977,WAC,12,5,7,0,0.417,7,3,4,0,0.429,Tony Mason (5-7)
Arizona,1976,WAC,11,5,6,0,0.455,7,3,4,0,0.429,Jim Young (5-6)
Arizona,1975,WAC,11,9,2,0,0.818,7,5,2,0,0.714,Jim Young (9-2)
Arizona,1974,WAC,11,9,2,0,0.818,7,6,1,0,0.857,Jim Young (9-2)
Arizona,1973,WAC,11,8,3,0,0.727,7,6,1,0,0.857,Jim Young (8-3)
Arizona,1972,WAC,11,4,7,0,0.364,7,4,3,0,0.571,Bob Weber (4-7)
