Team,Conference,ConferenceAbbrev,Power5,FBS,Nickname,Name1,Name2,Name3,Name4,Name5,Name6,Name7,urlSchool
Boston College,Atlantic Coast,ACC,TRUE,TRUE,Eagles,BC,Boston Col.,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/103.png
Clemson,Atlantic Coast,ACC,TRUE,TRUE,Tigers,CLEM,,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/228.png
Duke,Atlantic Coast,ACC,TRUE,TRUE,Blue Devils,DUKE,,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/150.png
Florida St.,Atlantic Coast,ACC,TRUE,TRUE,Seminoles,FSU,Florida St,Florida State,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/52.png
Georgia Tech,Atlantic Coast,ACC,TRUE,TRUE,Yellow Jackets,GT,,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/59.png
Louisville,Atlantic Coast,ACC,TRUE,TRUE,Cardinals,LOU,,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/97.png
Miami (FL),Atlantic Coast,ACC,TRUE,TRUE,Hurricanes,MIA,Miami (Fla),Miami,Miami FL,Miami (Florida),Miami (Fla.),,https://a.espncdn.com/i/teamlogos/ncaa/500/2390.png
North Carolina,Atlantic Coast,ACC,TRUE,TRUE,Tar Heels,UNC,N Carolina,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/153.png
NC State,Atlantic Coast,ACC,TRUE,TRUE,Wolfpack,NCST,North Carolina St.,North Carolina St,NC St.,NC St,North Carolina State,N Carolina St,https://a.espncdn.com/i/teamlogos/ncaa/500/152.png
Pittsburgh,Atlantic Coast,ACC,TRUE,TRUE,Panthers,PITT,Pitt,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/221.png
Syracuse,Atlantic Coast,ACC,TRUE,TRUE,Orange,SYR,,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/183.png
Virginia,Atlantic Coast,ACC,TRUE,TRUE,Cavaliers,UVA,,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/258.png
Virginia Tech,Atlantic Coast,ACC,TRUE,TRUE,Hokies,VT,,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/259.png
Wake Forest,Atlantic Coast,ACC,TRUE,TRUE,Demon Deacons,WAKE,,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/154.png
Central Florida,American Athletic,AAC,FALSE,TRUE,Knights,UCF,C Florida,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/2116.png
