Year,School,Conf,Rank,G,W,L,Opp_Fum,Opp_Int,Opp_TO,Fum,Int,TO,Margin/G
2012,Oregon,Pac-12,1,13,12,1,14,26,40,10,9,19,1.62
2012,Boise St.,Mountain West,2,13,11,2,18,18,36,9,7,16,1.54
2012,Kansas St.,Big 12,3,13,11,2,13,18,31,3,9,12,1.46
2012,Kent State,MAC,4,14,11,3,15,23,38,7,11,18,1.43
2012,LSU,SEC,5,13,10,3,15,18,33,10,7,17,1.23
2012,Mississippi St.,SEC,5,13,8,5,14,19,33,7,10,17,1.23
2012,Florida,SEC,7,13,11,2,10,20,30,10,5,15,1.15
2012,Fresno St.,Mountain West,7,13,9,4,13,22,35,12,8,20,1.15
2012,Ohio,MAC,7,13,9,4,12,13,25,5,5,10,1.15
2012,Louisiana Tech,WAC,10,12,9,3,16,10,26,8,5,13,1.08
2012,Northwestern,Big Ten,11,13,10,3,16,13,29,8,7,15,1.08
2012,SMU,C-USA,11,13,7,6,16,21,37,8,15,23,1.08
2012,Alabama,SEC,13,14,13,1,11,18,29,12,3,15,1
2012,Iowa,Big Ten,13,12,4,8,13,10,23,3,8,11,1
2012,Pittsburgh,AAC,15,13,6,7,7,15,22,7,3,10,0.92
2012,Central Florida,C-USA,16,14,10,4,16,11,27,8,7,15,0.86
2012,Louisville,AAC,17,13,11,2,13,11,24,5,8,13,0.85
2012,New Mexico,Mountain West,17,13,4,9,14,11,25,10,4,14,0.85
2012,Middle Tennessee,Sun Belt,19,12,8,4,16,12,28,10,8,18,0.83
2012,Georgia,SEC,20,14,12,2,17,13,30,8,11,19,0.79
2012,Rutgers,AAC,21,13,9,4,14,18,32,6,16,22,0.77
2012,Penn State,Big Ten,22,12,8,4,12,10,22,8,5,13,0.75
2012,Arkansas St.,Sun Belt,23,13,10,3,10,13,23,9,5,14,0.69
2012,Cincinnati,AAC,23,13,10,3,12,16,28,8,11,19,0.69
2012,Wake Forest,ACC,25,12,5,7,12,11,23,8,7,15,0.67
2012,Stanford,Pac-12,26,14,12,2,12,15,27,8,10,18,0.64
2012,Notre Dame,FBS Independent,27,13,12,1,7,16,23,7,8,15,0.62
2012,Oregon St.,Pac-12,27,13,9,4,11,20,31,7,16,23,0.62
2012,San Jose St.,WAC,27,13,11,2,17,15,32,15,9,24,0.62
2012,Miami (FL),FL ,30,12,7,5,11,11,22,8,7,15,0.58
2012,North Carolina,ACC,30,12,8,4,9,16,25,11,7,18,0.58
2012,Wyoming,Mountain West,30,12,4,8,14,6,20,5,8,13,0.58
2012,UL Monroe,Sun Belt,33,13,8,5,10,16,26,4,15,19,0.54
