Year,School,Conf,Rank,G,W,L,Opp_Fum,Opp_Int,Opp_TO,Fum,Int,TO,Margin,Margin/G
2014,Oregon,Pac-12,1,15,13,2,21,13,34,7,4,11,23,1.5333333333333334
2014,Michigan St.,Big Ten,2,13,11,2,16,18,34,6,9,15,19,1.4615384615384615
2014,TCU,Big 12,3,13,12,1,14,26,40,11,11,22,18,1.3846153846153846
2014,Georgia,SEC,4,13,10,3,13,16,29,7,6,13,16,1.2307692307692308
2014,Louisiana Tech,C-USA,5,14,9,5,16,26,42,13,13,26,16,1.1428571428571428
2014,Arizona St.,Pac-12,6,13,10,3,13,14,27,4,9,13,14,1.0769230769230769
2014,Baylor,Big 12,7,13,11,2,13,13,26,5,8,13,13,1.0
2014,Florida Intl,C-USA,8,12,4,8,19,14,33,12,10,22,11,0.9166666666666666
2014,Northern Illinois,MAC,9,14,11,3,10,14,24,9,3,12,12,0.8571428571428571
2014,Washington,Pac-12,9,14,8,6,16,13,29,11,6,17,12,0.8571428571428571
2014,USC,Pac-12,11,13,9,4,9,14,23,7,5,12,11,0.8461538461538461
2014,Nevada,Mountain West,11,13,7,6,14,13,27,5,11,16,11,0.8461538461538461
2014,Memphis,AAC,11,13,10,3,14,17,31,11,9,20,11,0.8461538461538461
2014,Georgia Tech,ACC,14,14,11,3,11,18,29,12,6,18,11,0.7857142857142857
2014,Minnesota,Big Ten,15,13,8,5,15,15,30,11,9,20,10,0.7692307692307693
2014,Ball St.,MAC,16,12,5,7,14,10,24,8,7,15,9,0.75
2014,Bowling Green,MAC,17,14,8,6,17,16,33,10,13,23,10,0.7142857142857143
2014,UTEP,C-USA,18,13,7,6,10,11,21,6,6,12,9,0.6923076923076923
2014,Kentucky,SEC,19,12,5,7,8,15,23,4,11,15,8,0.6666666666666666
2014,Missouri,SEC,20,14,11,3,13,12,25,3,13,16,9,0.6428571428571429
2014,Utah St.,Mountain West,20,14,10,4,11,19,30,10,11,21,9,0.6428571428571429
2014,Houston,AAC,22,13,8,5,11,19,30,7,15,22,8,0.6153846153846154
2014,Kansas St.,Big 12,22,13,9,4,6,15,21,5,8,13,8,0.6153846153846154
2014,Rice,C-USA,22,13,8,5,11,9,20,4,8,12,8,0.6153846153846154
2014,Texas St.,Sun Belt,25,12,7,5,6,13,19,5,7,12,7,0.5833333333333334
2014,Arizona,Pac-12,26,14,10,4,13,13,26,8,10,18,8,0.5714285714285714
2014,Auburn,SEC,27,13,8,5,5,22,27,13,7,20,7,0.5384615384615384
2014,Ole Miss,SEC,27,13,9,4,10,22,32,10,15,25,7,0.5384615384615384
